,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,0.22867644646282823,-0.07064250399660124,True,-0.048507125007266595,-0.19058469535373593,True,-0.020788767860257112,-0.29237095311759165,1000,random,uniform,Lime,10,1,LEFTIST'>
1,False,0.4227049464918946,-0.1532019483559743,True,0.3949865893448851,-0.21276297310935238,True,0.27025398218334246,-0.28615394481867096,1000,random,uniform,Lime,10,1,LEFTIST'>
2,False,0.03464794643376185,0.020229481352097622,True,-0.011549315477920619,0.03166196540935714,True,0.3256906964773615,0.11709511187087474,1000,random,uniform,Lime,10,1,LEFTIST'>
3,False,0.21481726788932348,0.03855924426886099,True,0.31645124409502495,-0.04772571393886539,True,0.22867644646282823,0.26079605111472604,1000,random,uniform,Lime,10,1,LEFTIST'>
4,False,-0.21019754169815522,0.02070509397089926,True,-0.016169041669088866,-0.14908348884278308,True,-0.10394383930128556,0.34361173185471644,1000,random,uniform,Lime,10,1,LEFTIST'>
5,False,0.28873288694801547,0.04821968440711368,True,0.4365641250653993,-0.04783563139083326,True,-0.07160575596310784,0.4146226321396227,1000,random,uniform,Lime,10,1,LEFTIST'>
6,False,0.3487893274332026,0.013953711132574858,True,-0.06698602977193958,0.06242356176626975,True,0.48738111316825006,0.16806739999394155,1000,random,uniform,Lime,10,1,LEFTIST'>
7,False,0.15476082740413627,0.09869255011884338,True,0.17323973216880928,-0.05429166927965731,True,0.030028220242593606,-0.229261529829904,1000,random,uniform,Lime,10,1,LEFTIST'>
8,False,0.23329617265399646,-0.16758921180332828,True,0.15014110121296803,-0.05667418346802452,True,-0.03464794643376185,0.22148468642235933,1000,random,uniform,Lime,10,1,LEFTIST'>
9,False,-0.1362819226394633,0.16370210299643448,True,0.09470438691894906,0.06464237273685866,True,0.07622548215427606,0.22015152805420732,1000,random,uniform,Lime,10,1,LEFTIST'>
10,False,-0.45966275602124057,-0.03811119665913339,True,-0.33031042266852967,-0.22813158062584865,True,-0.3949865893448851,-0.27529280078290924,1000,random,uniform,Lime,10,1,LEFTIST'>
11,False,0.1362819226394633,0.19121117513111477,True,0.27025398218334246,0.5939429915691143,True,-0.13166219644829505,-0.09841075819042895,1000,random,uniform,Lime,10,1,LEFTIST'>
12,False,0.15938055359530454,-0.13070575307173415,True,0.48738111316825006,-0.11120208905896731,True,0.13166219644829505,-0.2520722054749772,1000,random,uniform,Lime,10,1,LEFTIST'>
13,False,0.18247918455114576,-0.0033984831729957704,True,0.08546493453661257,0.10530080854414799,True,0.21943699408049172,0.39821945459148045,1000,random,uniform,Lime,10,1,LEFTIST'>
14,False,0.05312685119843485,0.25395270340403486,True,0.011549315477920619,0.20905765299553472,True,-0.2517750774186695,-0.07404806769467043,1000,random,uniform,Lime,10,1,LEFTIST'>
15,False,0.2517750774186695,0.03712026085658442,True,0.2748737083745107,0.23580665248662772,True,0.05312685119843485,-0.10004282105228819,1000,random,uniform,Lime,10,1,LEFTIST'>
16,False,0.23791589884516473,0.2018403001917165,True,0.41808522030072637,0.008840032123866162,True,0.04388739881609834,-0.2738092810516471,1000,random,uniform,Lime,10,1,LEFTIST'>
17,False,-0.22867644646282823,0.0766855878963356,True,0.2471553512275012,0.20013002631150653,True,-0.1963383631246505,-0.09800049647159768,1000,random,uniform,Lime,10,1,LEFTIST'>
18,False,0.2517750774186695,0.05296896501759297,True,0.23792161131737571,-0.29481520013139917,True,-0.0392676726249301,0.1616893784857933,1000,random,uniform,Lime,10,1,LEFTIST'>
19,False,-0.15938055359530454,-0.08778012111381306,True,-0.3118315179038567,-0.2027720334629847,True,-0.31645124409502495,-0.050654378789403355,1000,random,uniform,Lime,10,1,LEFTIST'>
