,Pointing_mean,Relevance Rank_mean,Relevance Mass_mean,AuC_mean,Pointing_std,Relevance Rank_std,Relevance Mass_std,AuC_std,ts_length,method,distance_measure,max_iter,n_neighbors,Datasets,Typ,Generation,models
0,0.25,0.2142857142857143,0.2756843099489932,0.439484126984127,0.5,0.25421614885788835,1.1207917712635902,0.2594506838387967,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
1,0.0,0.041666666666666664,0.6894043588484329,0.3854166666666667,0.0,0.08333333333333334,1.1046290602111095,0.32343509363536743,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,RareTime,AutoRegressive,CNN
2,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,PostionalTime,NARMA,CNN
3,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,PostionalTime,Box,CNN
4,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,PostionalTime,PseudoPeriodic,CNN
5,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,PostionalFeature,Harmonic,CNN
6,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,PostionalFeature,CAR,CNN
7,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,PostionalFeature,Box,CNN
8,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,PostionalFeature,AutoRegressive,CNN
9,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
10,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
11,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
12,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
13,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
14,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,RareFeature,CAR,CNN
15,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,RareFeature,Box,CNN
16,,,,,,,,,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
17,0.7,0.615,0.9115379412565705,0.5413333333333333,0.4701623459816272,0.15350676690419912,1.0500665264688227,0.2519285845153472,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN
