,Pointing_mean,Relevance Rank_mean,Relevance Mass_mean,AuC_mean,Pointing_std,Relevance Rank_std,Relevance Mass_std,AuC_std,ts_length,method,distance_measure,max_iter,n_neighbors,Datasets,Typ,Generation,models
0,0.3,0.2714285714285714,0.28147902314335016,0.5214285714285715,0.4701623459816272,0.17588200321459785,0.07661445828559926,0.1971351939151248,100,NG,dtw,500,1,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
1,0.4,0.3642857142857142,0.30106857704555084,0.5509424603174604,0.5026246899500346,0.07651091762339968,0.04556485073864437,0.1068743323360388,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
2,0.35,0.33214285714285713,0.2859209085866184,0.5674107142857143,0.4893604849295929,0.257304669221989,0.12288300344545813,0.32190225261054245,100,NG,dtw,500,1,SimulatedTrainingData_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
3,0.4,0.3714285714285714,0.32182466040916535,0.6786706349206348,0.5026246899500346,0.20149814827784027,0.07266452066787868,0.1998203253423904,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
4,0.25,0.24285714285714288,0.2645750670979127,0.4696428571428572,0.4442616583193193,0.20388282475446617,0.08092847756399375,0.21191656347475987,100,NG,dtw,500,1,SimulatedTrainingData_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
5,0.35,0.29285714285714287,0.2640631669549213,0.5073908730158729,0.4893604849295929,0.3082294122391313,0.12363430725455522,0.32774126317389085,100,NG,dtw,500,1,SimulatedTrainingData_SmallMiddle_CAR_F_1_TS_50.npy,SmallMiddle,CAR,CNN
6,0.45,0.33214285714285713,0.32557705614604726,0.6672123015873016,0.5104177855340405,0.15067873649806418,0.06799289440789426,0.17273738099936384,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_SmallMiddle_CAR_F_1_TS_50.npy,SmallMiddle,CAR,CNN
7,0.3,0.3035714285714285,0.2911473836498169,0.5421626984126984,0.4701623459816272,0.18809206558030095,0.08916292830348703,0.22109665699289557,100,NG,dtw,500,1,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
8,0.2,0.23571428571428577,0.2665566844857551,0.4768353174603175,0.4103913408340617,0.17815741479610486,0.07476465549190055,0.1764312583788552,100,dtw_bary_center,dtw,500,1,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
9,0.15,0.15833333333333333,0.12173105477262473,0.5113636363636365,0.36634754853252327,0.21948237883685115,0.04917815490700747,0.22716222060895744,100,NG,dtw,500,1,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
