,complexity_mean,complexity_std,transformer,epochs,Datasets,Typ,Generation,models,method,tsr,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size
0,3.774760787605781,0.06029305829446819,mutate_both,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,,,,,,
1,3.7499329900099605,0.08168167911261905,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,,,,,,
2,1.7236795065487904,0.15063977646345122,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,FO,False,,,,,,
3,1.9208800523310026,0.06586928474837674,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,FA,False,,,,,,
4,1.962825663268097,0.014502627643523194,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,SG,False,,,,,,
5,1.6913422340450097,0.20589334601892753,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,DLS,False,,,,,,
6,1.7412201207095546,0.12437841865620074,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,DL,False,,,,,,
7,1.7638309701696084,0.19061711256676742,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GS,False,,,,,,
8,1.9523513276325677,0.0052823067157701745,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GRAD,False,,,,,,
9,2.634296218675611,0.2561219404427813,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,FO,True,,,,,,
10,2.6144042020822003,0.22274523943303343,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,FA,True,,,,,,
11,3.1458749128412853,0.05414951996162343,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,SG,True,,,,,,
12,1.852728469239997,0.23705557059417343,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,DLS,True,,,,,,
13,1.867552653025785,0.24538631521965662,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,DL,True,,,,,,
14,3.1569988610639603,0.06294486777228489,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GS,True,,,,,,
15,2.010535381924218,0.2454115459412504,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,GRAD,True,,,,,,
16,1.6094379124341003,2.278129578503827e-16,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,1000,random,uniform,SHAP,10,1
17,1.6094379124341003,2.278129578503827e-16,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM,,,1000,random,uniform,Lime,10,1
18,3.8149573743486096,0.07186307306612562,mutate_both,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,
19,3.8311698550216695,0.055512245603997236,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,
20,3.320910326353038,0.14483092504659661,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,FO,False,,,,,,
21,3.458719208254596,0.143325971663475,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,FA,False,,,,,,
22,3.7006924568342114,0.05085478308178967,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,SG,False,,,,,,
23,3.374646102120702,0.12873963054363322,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,DLS,False,,,,,,
24,3.2453250236514393,0.18115085142997853,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,DL,False,,,,,,
25,3.3841390470762014,0.1287212759643703,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,GS,False,,,,,,
26,3.321583255078732,0.1723721688668885,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,GRAD,False,,,,,,
27,3.0432043454097673,0.055640249618790105,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,FO,True,,,,,,
28,3.041210660875212,0.05456161082511033,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,FA,True,,,,,,
29,3.1609980662445087,0.04819939052360239,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,SG,True,,,,,,
