,Pointing_mean,Relevance Rank_mean,Relevance Mass_mean,AuC_mean,Pointing_std,Relevance Rank_std,Relevance Mass_std,AuC_std,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,Datasets,Typ,Generation,models,method,tsr,transformer,epochs
0,,,,,,,,,1000,random,uniform,Lime,10,1,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,
1,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,GRAD,True,,
2,,,,,,,,,1000,random,uniform,SHAP,10,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,LSTM,,,,
3,,,,,,,,,1000,random,uniform,Lime,10,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,LSTM,,,,
4,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,,,mutate_both,100
5,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,,,authentic_opposing_information,100
6,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,FO,False,,
7,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,FA,False,,
8,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,SG,False,,
9,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,DLS,False,,
10,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,DL,False,,
11,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,GS,False,,
12,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,GRAD,False,,
13,,,,,,,,,,,,,,,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN,FO,True,,
