,monoton_uniform_mean,faithfulness_correlation_uniform_mean,monoton_mean_mean,faithfulness_correlation_mean_mean,monoton_synthetic_mean,faithfulness_correlation_synthetic_flex_mean,monoton_uniform_std,faithfulness_correlation_uniform_std,monoton_mean_std,faithfulness_correlation_mean_std,monoton_synthetic_std,faithfulness_correlation_synthetic_flex_std,transformer,epochs,Datasets,Typ,Generation,models
0,0.15,-0.004195281802795848,1.0,0.031018946386616956,1.0,0.04115712747183479,0.36634754853252327,0.18412038830833793,0.0,0.10796645323520515,0.0,0.07231278010256434,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
1,0.0,0.06851084085295553,1.0,0.07820821934269657,1.0,0.07863286033738795,0.0,0.1704743368648241,0.0,0.2156493888382546,0.0,0.21087359259039193,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,SmallMiddle,PseudoPeriodic,CNN
2,0.0,-0.06068452712881596,1.0,-0.08074473386965382,1.0,-0.020738931895972933,0.0,0.13785222119720364,0.0,0.19084726850481834,0.0,0.21232152225646597,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,LSTM
3,0.35,0.002578183831042919,1.0,-0.02469621974305976,1.0,-0.05442089916147613,0.48936048492959283,0.1568105631870813,0.0,0.3200935664507314,0.0,0.24421242386611744,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
4,0.0,-0.04041913831333359,1.0,-0.04844861727362156,1.0,-0.02601224846007259,0.0,0.11575010666648057,0.0,0.15523946957226809,0.0,0.1572587496882888,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,LSTM
5,0.05,-0.0031046078228391745,1.0,0.05339176573775758,1.0,0.046297015455322374,0.22360679774997894,0.13270269102473145,0.0,0.19565700905284922,0.0,0.12077610427631207,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
6,0.3,-0.04564588384490165,1.0,-0.14474802403305184,1.0,-0.09931024505947972,0.4701623459816272,0.15145498626053516,0.0,0.25484950894691927,0.0,0.2407279747135964,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_CAR_F_1_TS_50.npy,SmallMiddle,CAR,LSTM
7,0.25,0.010786837509249693,1.0,-0.0700548268527987,1.0,-0.015325342748068804,0.4442616583193193,0.11467534034327459,0.0,0.2521200135958055,0.0,0.20181796983380734,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_CAR_F_1_TS_50.npy,SmallMiddle,CAR,CNN
8,0.0,0.0627239960795801,1.0,0.09218623425112077,1.0,0.025078563049013403,0.0,0.10142302891659938,0.0,0.15985130832584865,0.0,0.1683522462513046,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Box_F_1_TS_50.npy,SmallMiddle,Box,LSTM
9,0.0,-0.075097858117345,1.0,0.010809793852044733,1.0,-0.008066174700325432,0.0,0.13547042605126838,0.0,0.19382716904203734,0.0,0.20461860702650142,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,LSTM
10,0.0,0.06409281364433606,1.0,0.04795063219589431,1.0,0.011767316333988307,0.0,0.149198354494107,0.0,0.18843673109826886,0.0,0.23764457344066808,authentic_opposing_information,100,SimulatedTrainingData_Moving_SmallMiddle_CAR_F_1_TS_50.npy,SmallMiddle,CAR,LSTM
11,0.0,0.0019018497200774826,1.0,0.01068082905225574,1.0,-0.0029788685426510473,0.0,0.22981264639833038,0.0,0.2933062748508186,0.0,0.25241249091180123,authentic_opposing_information,100,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
