,AverageSensitivity_mean,MaxSensitivity_mean,AverageSensitivity_std,MaxSensitivity_std,method,tsr,Datasets,Typ,Generation,models,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,transformer,epochs
0,0.6621348988072249,0.7860757849544333,0.11943248638468744,0.13319037420445806,FO,False,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,,
1,0.6358116115912729,0.9727675807305378,0.18169862258429353,0.229526626596608,SG,False,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,,
2,0.6387905641090696,0.7643556995138119,0.12322627921509266,0.13957239206012112,GS,False,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,,
3,0.4590786309354672,0.624877544085665,0.16100781402908942,0.2134464177568389,GRAD,False,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,,
4,1.0459633241177178,1.1859841463566292,0.16195172239214725,0.17716129898713898,SG,True,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,,
5,1.0800418269774328,1.225047423569258,0.15906357272800506,0.16111191780025294,GS,True,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,,
6,,,,,,,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,1000,random,uniform,Lime,10,1,,
7,0.8475444993554614,0.9883582584824573,0.09744594807150342,0.11263200469870094,GRAD,True,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,,
8,,,,,,,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,Middle,Box,CNN,,,,,,,authentic_opposing_information,100
9,0.634773810721879,0.7482753113420997,0.21795694007541558,0.2518748599785397,FO,False,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,Middle,CAR,CNN,,,,,,,,
10,0.39375983119319313,0.4701866827844194,0.12206366312479552,0.14513987504435485,SG,False,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,Middle,CAR,CNN,,,,,,,,
