,AverageSensitivity_mean,MaxSensitivity_mean,AverageSensitivity_std,MaxSensitivity_std,method,tsr,Datasets,Typ,Generation,models,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size
0,0.4836276142375396,0.5967242279660596,0.10179588489954923,0.11027531397011246,FO,False,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
1,0.5412582161742244,0.6569886281811224,0.10056058587963224,0.11811012333740392,SG,False,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
2,0.5199384995911517,0.6391421579685137,0.11014109674293746,0.12910124310292806,GS,False,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
3,0.44540147855427836,0.6214612417634735,0.11883316972067762,0.12329263783596152,GRAD,False,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
4,0.725334758177778,0.8404658447592188,0.13945084479863057,0.13527724192759938,FO,True,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
5,0.9508250312743352,1.0731683935774814,0.15399670885517014,0.17155104295759918,SG,True,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
6,0.9336947743163713,1.068275947290107,0.1513301617616567,0.1858277326842448,GS,True,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
7,0.38672489002777366,0.5115397530624473,0.10347243786111252,0.10971808444592474,,,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,1000,random,uniform,SHAP,10,1
8,0.1428669041429625,0.30881969758149486,0.0646384652417254,0.13028103888391696,,,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,1000,random,uniform,Lime,10,1
9,0.7504949912857459,0.8711979265200199,0.1545135918951388,0.18249251113447895,GRAD,True,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN,,,,,,
