,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.6280998824375543,GRAD,False,Saliency_PTY'>
1,True,-0.48925239709616053,GRAD,False,Saliency_PTY'>
2,True,0.7015126595859307,GRAD,False,Saliency_PTY'>
3,True,0.5332677415577218,GRAD,False,Saliency_PTY'>
4,True,0.5856678681681959,GRAD,False,Saliency_PTY'>
5,True,0.42184159866624327,GRAD,False,Saliency_PTY'>
6,True,-0.35650898016241706,GRAD,False,Saliency_PTY'>
7,True,-0.4575169071135632,GRAD,False,Saliency_PTY'>
8,True,0.5460371062705701,GRAD,False,Saliency_PTY'>
9,True,0.5856913772914731,GRAD,False,Saliency_PTY'>
10,True,-0.5182948121806993,GRAD,False,Saliency_PTY'>
11,True,0.5451321472499738,GRAD,False,Saliency_PTY'>
12,True,0.3429443831432838,GRAD,False,Saliency_PTY'>
13,True,0.3578029243832572,GRAD,False,Saliency_PTY'>
14,True,0.45581386986129296,GRAD,False,Saliency_PTY'>
15,True,-0.5373259449755919,GRAD,False,Saliency_PTY'>
16,True,0.5989983617126831,GRAD,False,Saliency_PTY'>
17,True,-0.3872932285888424,GRAD,False,Saliency_PTY'>
18,True,0.6031244949932373,GRAD,False,Saliency_PTY'>
19,True,0.5886692958483899,GRAD,False,Saliency_PTY'>
