,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.2293686036895754,GRAD,True,Saliency_PTY'>
1,True,0.17612673176271365,GRAD,True,Saliency_PTY'>
2,True,-0.054707378061272634,GRAD,True,Saliency_PTY'>
3,True,-0.345089615591031,GRAD,True,Saliency_PTY'>
4,True,-0.11018492175713797,GRAD,True,Saliency_PTY'>
5,True,0.18151102713104145,GRAD,True,Saliency_PTY'>
6,True,0.03743232291260643,GRAD,True,Saliency_PTY'>
7,True,0.02361488362212979,GRAD,True,Saliency_PTY'>
8,True,0.13347301272012344,GRAD,True,Saliency_PTY'>
9,True,-0.030593971387475324,GRAD,True,Saliency_PTY'>
10,True,0.16316760405331399,GRAD,True,Saliency_PTY'>
11,True,0.20669721475198938,GRAD,True,Saliency_PTY'>
12,True,-0.21297661216212047,GRAD,True,Saliency_PTY'>
13,True,0.12590674398284904,GRAD,True,Saliency_PTY'>
14,True,0.14128756141923163,GRAD,True,Saliency_PTY'>
15,True,0.2307353078199283,GRAD,True,Saliency_PTY'>
16,True,-0.03437272583114498,GRAD,True,Saliency_PTY'>
17,True,0.2918826987567064,GRAD,True,Saliency_PTY'>
18,True,-0.22495173760787104,GRAD,True,Saliency_PTY'>
19,True,-0.04143492412409545,GRAD,True,Saliency_PTY'>
