,monoton_synthetic,faithfulness_correlation_synthtic_flex,method,tsr,explanation
0,True,,FO,False,Saliency_PTY'>
1,True,,FO,False,Saliency_PTY'>
2,True,,FO,False,Saliency_PTY'>
3,True,,FO,False,Saliency_PTY'>
4,True,,FO,False,Saliency_PTY'>
5,True,,FO,False,Saliency_PTY'>
6,True,,FO,False,Saliency_PTY'>
7,True,,FO,False,Saliency_PTY'>
8,True,,FO,False,Saliency_PTY'>
9,True,,FO,False,Saliency_PTY'>
10,True,,FO,False,Saliency_PTY'>
11,True,,FO,False,Saliency_PTY'>
12,True,,FO,False,Saliency_PTY'>
13,True,,FO,False,Saliency_PTY'>
14,True,,FO,False,Saliency_PTY'>
15,True,,FO,False,Saliency_PTY'>
16,True,,FO,False,Saliency_PTY'>
17,True,,FO,False,Saliency_PTY'>
18,True,,FO,False,Saliency_PTY'>
19,True,,FO,False,Saliency_PTY'>
