,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,transformer,epochs,explanation
0,False,-0.053409520994849705,True,0.04426789793968645,True,0.03975461149724895,authentic_opposing_information,100,TSEvo'>
1,False,-0.27382049376824436,True,-0.00717871552627538,True,-0.3035488594783127,authentic_opposing_information,100,TSEvo'>
2,False,-0.03215193935548128,True,0.14879849658092129,True,-0.051281185539210586,authentic_opposing_information,100,TSEvo'>
3,False,0.07335436835203567,True,-0.15145559081396373,True,-0.06675915783764472,authentic_opposing_information,100,TSEvo'>
4,False,0.020600125287308035,True,-0.038984141701313424,True,0.025817080202425565,authentic_opposing_information,100,TSEvo'>
5,False,-0.13874658220209032,True,-0.13754997200172595,True,0.005546476716087101,authentic_opposing_information,100,TSEvo'>
6,False,-0.2233369185137871,True,-0.07424418144568633,True,-0.06702149482470462,authentic_opposing_information,100,TSEvo'>
7,False,0.06187249084378647,True,0.039862960111504454,True,-0.07376100993649705,authentic_opposing_information,100,TSEvo'>
8,False,-0.07596294261709234,True,0.015052254418759618,True,-0.20303815925051547,authentic_opposing_information,100,TSEvo'>
9,False,0.1960773344355349,True,0.20415551811248078,True,0.18788059375391059,authentic_opposing_information,100,TSEvo'>
10,False,-0.011245693106756167,True,-0.15235750270385348,True,0.05893642958708184,authentic_opposing_information,100,TSEvo'>
11,False,-0.05085954520801534,True,-0.15619824591202988,True,0.01841421266299217,authentic_opposing_information,100,TSEvo'>
12,False,-0.012248512119646258,True,-0.06106430795879649,True,0.13290042338241478,authentic_opposing_information,100,TSEvo'>
13,False,-0.047246375099002536,True,0.09393827019640474,True,0.17359291106805028,authentic_opposing_information,100,TSEvo'>
14,False,-0.1497903624045875,True,-0.010777942665287523,True,0.06103810739055697,authentic_opposing_information,100,TSEvo'>
15,False,-0.08145429506617544,True,-0.18520870712266677,True,-0.1412269862355611,authentic_opposing_information,100,TSEvo'>
16,False,0.10974630124318983,True,0.032095606304005576,True,0.07089065959871893,authentic_opposing_information,100,TSEvo'>
17,False,0.0032845544325851373,True,-0.004402349924728613,True,-0.03712701871475482,authentic_opposing_information,100,TSEvo'>
18,False,0.008921448007680174,True,0.15840494266212884,True,0.11872608683763078,authentic_opposing_information,100,TSEvo'>
19,False,-0.10425571363642909,True,-0.11735280063743084,True,-0.003910932343305995,authentic_opposing_information,100,TSEvo'>
