,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthtic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
1,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
2,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
3,True,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
4,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
5,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
6,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
7,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
8,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
9,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
10,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
11,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
12,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
13,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
14,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
15,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
16,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
17,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
18,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
19,False,,True,,True,,1000,random,uniform,Lime,10,1,LEFTIST'>
