,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
1,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
2,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
3,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
4,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
5,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
6,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
7,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
8,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
9,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
10,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
11,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
12,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
13,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
14,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
15,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
16,True,-0.16745367108415216,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
17,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
18,True,,True,,True,,50,NG,dtw,500,1,NativeGuideCF'>
19,True,0.12025423933582216,True,0.04071215817615452,True,,50,NG,dtw,500,1,NativeGuideCF'>
