,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,-0.08460051153669308,True,0.02650031977627302,True,-0.1683559718068106,1000,random,uniform,Lime,10,1,LEFTIST'>
1,False,0.03365942870930101,True,0.07558065523508521,True,0.03910982894623786,1000,random,uniform,Lime,10,1,LEFTIST'>
2,False,0.03733848263891552,True,-0.04670889999328119,True,-0.0701639798394615,1000,random,uniform,Lime,10,1,LEFTIST'>
3,False,-0.10567280712878066,True,-0.024001446391367164,True,-0.11998585789834065,1000,random,uniform,Lime,10,1,LEFTIST'>
4,False,0.05913027511385739,True,0.2036252523017411,True,-0.07764001387387086,1000,random,uniform,Lime,10,1,LEFTIST'>
5,False,0.1041546698779956,True,0.06196088647779739,True,-0.045122059435441134,1000,random,uniform,Lime,10,1,LEFTIST'>
6,False,-0.043868447535965464,True,-0.09492162825662279,True,-0.022016724014009826,1000,random,uniform,Lime,10,1,LEFTIST'>
7,False,0.40618257780440525,True,0.1917864025706685,True,-0.03208891407247966,1000,random,uniform,Lime,10,1,LEFTIST'>
8,False,-0.14802116787761105,True,0.06625632616108165,True,0.025385371513996648,1000,random,uniform,Lime,10,1,LEFTIST'>
9,False,0.0055018836028077524,True,-0.11786155200964218,True,-0.304004050296841,1000,random,uniform,Lime,10,1,LEFTIST'>
10,False,-0.025995718718402512,True,-0.06400638393128387,True,0.11512587841274652,1000,random,uniform,Lime,10,1,LEFTIST'>
11,False,0.07729734624390541,True,0.16492529301138092,True,0.177605256458101,1000,random,uniform,Lime,10,1,LEFTIST'>
12,False,0.05478532482087349,True,-0.17934990217735267,True,-0.049700982117086026,1000,random,uniform,Lime,10,1,LEFTIST'>
13,False,-0.15961396365070357,True,0.11893251273166916,True,0.013197756495014853,1000,random,uniform,Lime,10,1,LEFTIST'>
14,False,-0.02452949730096797,True,-0.11242273008284832,True,-0.0393984974442005,1000,random,uniform,Lime,10,1,LEFTIST'>
15,False,-0.10177391923733893,True,-0.07214507119549374,True,-0.11058051262535712,1000,random,uniform,Lime,10,1,LEFTIST'>
16,False,-0.007665198186175755,True,-0.03123759885566772,True,-0.10284504893737036,1000,random,uniform,Lime,10,1,LEFTIST'>
17,False,0.1182083140774884,True,0.2011456885500012,True,-0.0771657065272354,1000,random,uniform,Lime,10,1,LEFTIST'>
18,False,0.034285522245262344,True,0.1342798408370333,True,-0.10427168009575558,1000,random,uniform,Lime,10,1,LEFTIST'>
19,False,0.06314080574671647,True,-0.020676254548923367,True,-0.11086590449140862,1000,random,uniform,Lime,10,1,LEFTIST'>
