,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthtic,faithfulness_correlation_synthtic_flex,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,,,,,,,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
