,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,-0.17122511277157978,authentic_opposing_information,100,TSEvo'>
1,True,-0.028193228696679826,authentic_opposing_information,100,TSEvo'>
2,True,0.19149384977141906,authentic_opposing_information,100,TSEvo'>
3,True,0.08931022892337791,authentic_opposing_information,100,TSEvo'>
4,True,0.030618171104642922,authentic_opposing_information,100,TSEvo'>
5,True,-0.07279790039177847,authentic_opposing_information,100,TSEvo'>
6,True,0.0012388860698017425,authentic_opposing_information,100,TSEvo'>
7,True,0.15151974280476307,authentic_opposing_information,100,TSEvo'>
8,True,0.11860238847640489,authentic_opposing_information,100,TSEvo'>
9,True,-0.07994463913521821,authentic_opposing_information,100,TSEvo'>
10,True,-0.18851558160928195,authentic_opposing_information,100,TSEvo'>
11,True,0.16134799996162452,authentic_opposing_information,100,TSEvo'>
12,True,-0.007805021252128456,authentic_opposing_information,100,TSEvo'>
13,True,-0.0413103854612129,authentic_opposing_information,100,TSEvo'>
14,True,0.02735918360046053,authentic_opposing_information,100,TSEvo'>
15,True,0.15959455535490685,authentic_opposing_information,100,TSEvo'>
16,True,-0.09471542899000787,authentic_opposing_information,100,TSEvo'>
17,True,-0.08649229251979179,authentic_opposing_information,100,TSEvo'>
18,True,-0.07606372469022617,authentic_opposing_information,100,TSEvo'>
19,True,0.19037686684844726,authentic_opposing_information,100,TSEvo'>
