,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,-0.06897238762757273,GRAD,True,Saliency_PTY'>
1,True,0.05319456646390268,GRAD,True,Saliency_PTY'>
2,True,-0.09964007556555021,GRAD,True,Saliency_PTY'>
3,True,-0.0944928964326817,GRAD,True,Saliency_PTY'>
4,True,0.044073353520171825,GRAD,True,Saliency_PTY'>
5,True,0.038741908821375924,GRAD,True,Saliency_PTY'>
6,True,0.2303893254165468,GRAD,True,Saliency_PTY'>
7,True,0.23323345436641474,GRAD,True,Saliency_PTY'>
8,True,0.07031060727408192,GRAD,True,Saliency_PTY'>
9,True,-0.021675606382771995,GRAD,True,Saliency_PTY'>
10,True,-0.11702838530977558,GRAD,True,Saliency_PTY'>
11,True,0.18978635480878253,GRAD,True,Saliency_PTY'>
12,True,0.10174591378023212,GRAD,True,Saliency_PTY'>
13,True,0.12149213436896321,GRAD,True,Saliency_PTY'>
14,True,0.1358292104375919,GRAD,True,Saliency_PTY'>
15,True,0.09597720268941505,GRAD,True,Saliency_PTY'>
16,True,0.12990234400271874,GRAD,True,Saliency_PTY'>
17,True,-0.03734551395221195,GRAD,True,Saliency_PTY'>
18,True,0.29641255161998764,GRAD,True,Saliency_PTY'>
19,True,-0.14074762555712236,GRAD,True,Saliency_PTY'>
