,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,,FO,True,Saliency_PTY'>
1,True,0.13890021364418959,FO,True,Saliency_PTY'>
2,True,0.2148236509856975,FO,True,Saliency_PTY'>
3,True,,FO,True,Saliency_PTY'>
4,True,0.13159257348007736,FO,True,Saliency_PTY'>
5,True,-0.01689826209610361,FO,True,Saliency_PTY'>
6,True,0.4621874496040806,FO,True,Saliency_PTY'>
7,True,,FO,True,Saliency_PTY'>
8,True,0.30041478110596465,FO,True,Saliency_PTY'>
9,True,0.3640290846213836,FO,True,Saliency_PTY'>
10,True,0.271467468596335,FO,True,Saliency_PTY'>
11,True,,FO,True,Saliency_PTY'>
12,True,0.10959676064264288,FO,True,Saliency_PTY'>
13,True,-0.030987641196645436,FO,True,Saliency_PTY'>
14,True,,FO,True,Saliency_PTY'>
15,True,,FO,True,Saliency_PTY'>
16,True,0.17184357315870138,FO,True,Saliency_PTY'>
17,True,0.2298502807751361,FO,True,Saliency_PTY'>
18,True,,FO,True,Saliency_PTY'>
19,True,,FO,True,Saliency_PTY'>
