,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,0.5565240259931653,FO,True,Saliency_PTY'>
1,True,-0.27652089618223363,FO,True,Saliency_PTY'>
2,True,-0.19294507880521147,FO,True,Saliency_PTY'>
3,True,0.27394824125567374,FO,True,Saliency_PTY'>
4,True,-0.20486171204604478,FO,True,Saliency_PTY'>
5,True,0.5409885558074579,FO,True,Saliency_PTY'>
6,True,0.6030663335204247,FO,True,Saliency_PTY'>
7,True,0.5112264151938662,FO,True,Saliency_PTY'>
8,True,-0.32918701193436567,FO,True,Saliency_PTY'>
9,True,0.33992830415332215,FO,True,Saliency_PTY'>
10,True,0.5146471002670133,FO,True,Saliency_PTY'>
11,True,0.47889412112398005,FO,True,Saliency_PTY'>
12,True,-0.3591463245050016,FO,True,Saliency_PTY'>
13,True,-0.1476396932888238,FO,True,Saliency_PTY'>
14,True,0.07626735893507083,FO,True,Saliency_PTY'>
15,True,-0.4902100931163552,FO,True,Saliency_PTY'>
16,True,0.16317221926806083,FO,True,Saliency_PTY'>
17,True,-0.0720571185598405,FO,True,Saliency_PTY'>
18,True,0.4093372458203088,FO,True,Saliency_PTY'>
19,True,0.06344368696949579,FO,True,Saliency_PTY'>
