,monoton_synthetic,faithfulness_correlation_synthetic_flex,transformer,epochs,explanation
0,True,-0.008261573033530555,authentic_opposing_information,100,TSEvo'>
1,True,-0.15623247070286958,authentic_opposing_information,100,TSEvo'>
2,True,-0.04844535574613393,authentic_opposing_information,100,TSEvo'>
3,True,-0.08837306998596137,authentic_opposing_information,100,TSEvo'>
4,True,-0.07439464248417227,authentic_opposing_information,100,TSEvo'>
5,True,0.2450524488027417,authentic_opposing_information,100,TSEvo'>
6,True,-0.2572767248781683,authentic_opposing_information,100,TSEvo'>
7,True,-0.2457283882346202,authentic_opposing_information,100,TSEvo'>
8,True,0.16735136268310358,authentic_opposing_information,100,TSEvo'>
9,True,0.21723167238006078,authentic_opposing_information,100,TSEvo'>
10,True,0.4363689216254703,authentic_opposing_information,100,TSEvo'>
11,True,-0.044077019168222153,authentic_opposing_information,100,TSEvo'>
12,True,0.15428340042704353,authentic_opposing_information,100,TSEvo'>
13,True,-0.08304252785514045,authentic_opposing_information,100,TSEvo'>
14,True,0.24902247859298415,authentic_opposing_information,100,TSEvo'>
15,True,-0.11241739568975646,authentic_opposing_information,100,TSEvo'>
16,True,0.09497524452995902,authentic_opposing_information,100,TSEvo'>
17,True,-0.07300225600809969,authentic_opposing_information,100,TSEvo'>
18,True,-0.21379585350573357,authentic_opposing_information,100,TSEvo'>
19,True,0.11703255932909311,authentic_opposing_information,100,TSEvo'>
