,monoton_synthtic,faithfulness_correlation_synthtic_flex,method,tsr,explanation
0,,,IG,False,Saliency_PTY'>
1,,,IG,False,Saliency_PTY'>
2,,,IG,False,Saliency_PTY'>
3,,,IG,False,Saliency_PTY'>
4,,,IG,False,Saliency_PTY'>
5,,,IG,False,Saliency_PTY'>
6,,,IG,False,Saliency_PTY'>
7,,,IG,False,Saliency_PTY'>
8,,,IG,False,Saliency_PTY'>
9,,,IG,False,Saliency_PTY'>
10,,,IG,False,Saliency_PTY'>
11,,,IG,False,Saliency_PTY'>
12,,,IG,False,Saliency_PTY'>
13,,,IG,False,Saliency_PTY'>
14,,,IG,False,Saliency_PTY'>
15,,,IG,False,Saliency_PTY'>
16,,,IG,False,Saliency_PTY'>
17,,,IG,False,Saliency_PTY'>
18,,,IG,False,Saliency_PTY'>
19,,,IG,False,Saliency_PTY'>
