,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.08982671423686207,SG,False,Saliency_PTY'>
1,True,-0.24639107583591527,SG,False,Saliency_PTY'>
2,True,0.16205422833185276,SG,False,Saliency_PTY'>
3,True,0.1648523826303639,SG,False,Saliency_PTY'>
4,True,0.26974406589174754,SG,False,Saliency_PTY'>
5,True,0.20652939103507675,SG,False,Saliency_PTY'>
6,True,0.33763643871136895,SG,False,Saliency_PTY'>
7,True,0.20598540434828802,SG,False,Saliency_PTY'>
8,True,0.08352240056562449,SG,False,Saliency_PTY'>
9,True,0.17938069489315128,SG,False,Saliency_PTY'>
10,True,-0.07510495221063883,SG,False,Saliency_PTY'>
11,True,0.2169990104373339,SG,False,Saliency_PTY'>
12,True,0.09219078364412611,SG,False,Saliency_PTY'>
13,True,0.15834815892786527,SG,False,Saliency_PTY'>
14,True,0.2230503990028249,SG,False,Saliency_PTY'>
15,True,-0.12167272580836411,SG,False,Saliency_PTY'>
16,True,0.046409321764135,SG,False,Saliency_PTY'>
17,True,0.17667343402552962,SG,False,Saliency_PTY'>
18,True,-0.21326062060870404,SG,False,Saliency_PTY'>
19,True,-0.2983569829634666,SG,False,Saliency_PTY'>
