,monoton_synthtic,faithfulness_correlation_synthtic_flex,method,tsr,explanation
0,,,GRAD,False,Saliency_PTY'>
1,,,GRAD,False,Saliency_PTY'>
2,,,GRAD,False,Saliency_PTY'>
3,,,GRAD,False,Saliency_PTY'>
4,,,GRAD,False,Saliency_PTY'>
5,,,GRAD,False,Saliency_PTY'>
6,,,GRAD,False,Saliency_PTY'>
7,,,GRAD,False,Saliency_PTY'>
8,,,GRAD,False,Saliency_PTY'>
9,,,GRAD,False,Saliency_PTY'>
10,,,GRAD,False,Saliency_PTY'>
11,,,GRAD,False,Saliency_PTY'>
12,,,GRAD,False,Saliency_PTY'>
13,,,GRAD,False,Saliency_PTY'>
14,,,GRAD,False,Saliency_PTY'>
15,,,GRAD,False,Saliency_PTY'>
16,,,GRAD,False,Saliency_PTY'>
17,,,GRAD,False,Saliency_PTY'>
18,,,GRAD,False,Saliency_PTY'>
19,,,GRAD,False,Saliency_PTY'>
