,monoton_synthetic,faithfulness_correlation_synthetic_flex,transformer,epochs,explanation
0,True,0.2675127310700623,authentic_opposing_information,100,TSEvo'>
1,True,0.18886878215353406,authentic_opposing_information,100,TSEvo'>
2,True,-0.028896551110717823,authentic_opposing_information,100,TSEvo'>
3,True,-0.06279568655406784,authentic_opposing_information,100,TSEvo'>
4,True,-0.1402715665480786,authentic_opposing_information,100,TSEvo'>
5,True,-0.2283408015527029,authentic_opposing_information,100,TSEvo'>
6,True,0.13056063418780225,authentic_opposing_information,100,TSEvo'>
7,True,0.02703670550573287,authentic_opposing_information,100,TSEvo'>
8,True,0.15252804991469457,authentic_opposing_information,100,TSEvo'>
9,True,0.03055645221597002,authentic_opposing_information,100,TSEvo'>
10,True,-0.06297061856714606,authentic_opposing_information,100,TSEvo'>
11,True,0.050796110008990265,authentic_opposing_information,100,TSEvo'>
12,True,0.047229843717435736,authentic_opposing_information,100,TSEvo'>
13,True,0.06775531789587434,authentic_opposing_information,100,TSEvo'>
14,True,0.20928366790205205,authentic_opposing_information,100,TSEvo'>
15,True,-0.03398059721040787,authentic_opposing_information,100,TSEvo'>
16,True,0.014685311193823214,authentic_opposing_information,100,TSEvo'>
17,True,-0.04246481779334505,authentic_opposing_information,100,TSEvo'>
18,True,-0.13231410387921852,authentic_opposing_information,100,TSEvo'>
19,True,-0.026151377438850935,authentic_opposing_information,100,TSEvo'>
