,monoton_synthetic,faithfulness_correlation_synthetic_flex,transformer,epochs,explanation
0,True,0.11868739108226291,authentic_opposing_information,100,TSEvo'>
1,True,-0.09648318942344403,authentic_opposing_information,100,TSEvo'>
2,True,-0.011952218055631559,authentic_opposing_information,100,TSEvo'>
3,True,-0.14400566637630322,authentic_opposing_information,100,TSEvo'>
4,True,-0.034024067333203054,authentic_opposing_information,100,TSEvo'>
5,True,0.1841573929260332,authentic_opposing_information,100,TSEvo'>
6,True,0.10762794908984014,authentic_opposing_information,100,TSEvo'>
7,True,0.10400317961603917,authentic_opposing_information,100,TSEvo'>
8,True,-0.18801082881877204,authentic_opposing_information,100,TSEvo'>
9,True,-0.004150999014420271,authentic_opposing_information,100,TSEvo'>
10,True,0.06796393378001579,authentic_opposing_information,100,TSEvo'>
11,True,0.035954411362677324,authentic_opposing_information,100,TSEvo'>
12,True,0.02513128126208524,authentic_opposing_information,100,TSEvo'>
13,True,0.06263167576810966,authentic_opposing_information,100,TSEvo'>
14,True,0.07127650634622835,authentic_opposing_information,100,TSEvo'>
15,True,-0.03386350162323358,authentic_opposing_information,100,TSEvo'>
16,True,0.18745253459045036,authentic_opposing_information,100,TSEvo'>
17,True,0.1425918287079026,authentic_opposing_information,100,TSEvo'>
18,True,0.16847566393983235,authentic_opposing_information,100,TSEvo'>
19,True,0.09054375085607953,authentic_opposing_information,100,TSEvo'>
