,monoton_synthetic,faithfulness_correlation_synthetic_flex,transformer,epochs,explanation
0,True,-0.05046369792483229,authentic_opposing_information,100,TSEvo'>
1,True,-0.045104213421264784,authentic_opposing_information,100,TSEvo'>
2,True,-0.1140619575570603,authentic_opposing_information,100,TSEvo'>
3,True,0.09459193213557265,authentic_opposing_information,100,TSEvo'>
4,True,0.10535448774934089,authentic_opposing_information,100,TSEvo'>
5,True,0.07905376776082988,authentic_opposing_information,100,TSEvo'>
6,True,0.02748602366020993,authentic_opposing_information,100,TSEvo'>
7,True,0.05121264241600949,authentic_opposing_information,100,TSEvo'>
8,True,0.010777502184888543,authentic_opposing_information,100,TSEvo'>
9,True,-0.030278667675805046,authentic_opposing_information,100,TSEvo'>
10,True,0.021087051024056985,authentic_opposing_information,100,TSEvo'>
11,True,0.007464558116098814,authentic_opposing_information,100,TSEvo'>
12,True,0.06673305227200627,authentic_opposing_information,100,TSEvo'>
13,True,0.04414150824275507,authentic_opposing_information,100,TSEvo'>
14,True,0.007123562064455026,authentic_opposing_information,100,TSEvo'>
15,True,-0.010833622395177309,authentic_opposing_information,100,TSEvo'>
16,True,-0.06512333644250916,authentic_opposing_information,100,TSEvo'>
17,True,-0.11344509618225854,authentic_opposing_information,100,TSEvo'>
18,True,0.07359433738726143,authentic_opposing_information,100,TSEvo'>
19,True,0.017146683279061548,authentic_opposing_information,100,TSEvo'>
