,monoton_synthtic,faithfulness_correlation_synthtic_flex,method,tsr,explanation
0,,,GRAD,True,Saliency_PTY'>
1,,,GRAD,True,Saliency_PTY'>
2,,,GRAD,True,Saliency_PTY'>
3,,,GRAD,True,Saliency_PTY'>
4,,,GRAD,True,Saliency_PTY'>
5,,,GRAD,True,Saliency_PTY'>
6,,,GRAD,True,Saliency_PTY'>
7,,,GRAD,True,Saliency_PTY'>
8,,,GRAD,True,Saliency_PTY'>
9,,,GRAD,True,Saliency_PTY'>
10,,,GRAD,True,Saliency_PTY'>
11,,,GRAD,True,Saliency_PTY'>
12,,,GRAD,True,Saliency_PTY'>
13,,,GRAD,True,Saliency_PTY'>
14,,,GRAD,True,Saliency_PTY'>
15,,,GRAD,True,Saliency_PTY'>
16,,,GRAD,True,Saliency_PTY'>
17,,,GRAD,True,Saliency_PTY'>
18,,,GRAD,True,Saliency_PTY'>
19,,,GRAD,True,Saliency_PTY'>
