,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.2777777777777778,0.2375383118066546,0.4431972222222222,GS,False,Saliency_PTY'>
1,False,0.37555555555555553,0.3196170967038867,0.52918125,GS,False,Saliency_PTY'>
2,False,0.51,0.4394483456308288,0.6708805555555555,GS,False,Saliency_PTY'>
3,False,0.5611111111111111,0.5158805216330817,0.7262083333333332,GS,False,Saliency_PTY'>
4,False,0.36777777777777776,0.323642030276395,0.5239944444444444,GS,False,Saliency_PTY'>
5,False,0.31222222222222223,0.27659480205041426,0.4830840277777778,GS,False,Saliency_PTY'>
6,False,0.43666666666666665,0.38767303522570723,0.6072826388888888,GS,False,Saliency_PTY'>
7,False,0.2822222222222222,0.26720050786895955,0.4232166666666667,GS,False,Saliency_PTY'>
8,False,0.5522222222222222,0.5265812615578822,0.7170027777777778,GS,False,Saliency_PTY'>
9,True,0.5411111111111111,0.49861187482672314,0.7110277777777778,GS,False,Saliency_PTY'>
10,False,0.5644444444444444,0.500604458074188,0.7249916666666667,GS,False,Saliency_PTY'>
11,True,0.6322222222222222,0.5749531621692152,0.7805124999999999,GS,False,Saliency_PTY'>
12,True,0.6055555555555555,0.5583398571760174,0.7535736111111111,GS,False,Saliency_PTY'>
13,True,0.6488888888888888,0.6037345624458339,0.8059562500000002,GS,False,Saliency_PTY'>
14,True,0.5255555555555556,0.4740166667879098,0.69259375,GS,False,Saliency_PTY'>
15,False,0.41,0.3930347398861124,0.5721375,GS,False,Saliency_PTY'>
16,False,0.4688888888888889,0.4148985603999288,0.6393888888888889,GS,False,Saliency_PTY'>
17,False,0.44333333333333336,0.42259676673528696,0.6230590277777779,GS,False,Saliency_PTY'>
18,False,0.4866666666666667,0.4432070218118503,0.6578409722222222,GS,False,Saliency_PTY'>
19,False,0.36666666666666664,0.33652299330893987,0.5446777777777778,GS,False,Saliency_PTY'>
