,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.24,0.1594753754241366,0.6360312576312576,IG,True,Saliency_PTY'>
1,True,0.7066666666666667,0.40719569229139935,0.9622954822954822,IG,True,Saliency_PTY'>
2,False,0.0,0.007932480732863035,0.22961172161172164,IG,True,Saliency_PTY'>
3,True,0.48,0.2868207288724677,0.8443438339438339,IG,True,Saliency_PTY'>
4,False,0.17333333333333334,0.16452027387634569,0.7680537240537241,IG,True,Saliency_PTY'>
5,False,0.013333333333333334,0.04158544873872659,0.42357509157509154,IG,True,Saliency_PTY'>
6,True,0.3422222222222222,0.2072911341435072,0.7686163614163612,IG,True,Saliency_PTY'>
7,False,0.0044444444444444444,0.014534634815387235,0.2024937728937729,IG,True,Saliency_PTY'>
8,False,0.0,0.02442165934784164,0.4975081807081807,IG,True,Saliency_PTY'>
9,False,0.05333333333333334,0.14315247225850145,0.7632820512820513,IG,True,Saliency_PTY'>
10,True,0.5244444444444445,0.30816959147107126,0.8577025641025641,IG,True,Saliency_PTY'>
11,False,0.19555555555555557,0.13169510802622297,0.6045137973137973,IG,True,Saliency_PTY'>
12,False,0.18666666666666668,0.14640140419507752,0.6811301587301586,IG,True,Saliency_PTY'>
13,False,0.09777777777777778,0.12703344324578106,0.7663032967032967,IG,True,Saliency_PTY'>
14,True,0.64,0.33959241326756073,0.9267350427350427,IG,True,Saliency_PTY'>
15,False,0.39111111111111113,0.26666031121872663,0.8213304029304029,IG,True,Saliency_PTY'>
16,True,0.4,0.2493675134011951,0.7843711843711844,IG,True,Saliency_PTY'>
17,False,0.022222222222222223,0.04965041932242555,0.41089035409035407,IG,True,Saliency_PTY'>
18,False,0.19111111111111112,0.15559887124348515,0.8076493284493285,IG,True,Saliency_PTY'>
19,False,0.10222222222222223,0.08435598822860363,0.4695599511599512,IG,True,Saliency_PTY'>
