,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.016666666666666666,0.048300233693979004,0.4422529498525074,FO,True,Saliency_PTY'>
1,True,0.1875,0.21387075316700388,0.6416316371681416,FO,True,Saliency_PTY'>
2,False,0.0375,0.034383584492406645,0.48706858407079645,FO,True,Saliency_PTY'>
3,False,0.0,0.048453261466229955,0.45367072271386427,FO,True,Saliency_PTY'>
4,False,0.008333333333333333,0.03215459586044042,0.37583517699115043,FO,True,Saliency_PTY'>
5,False,0.22083333333333333,0.1735245666979089,0.5661596607669617,FO,True,Saliency_PTY'>
6,False,0.029166666666666667,0.038336652823542,0.45064988938053097,FO,True,Saliency_PTY'>
7,False,0.025,0.05764041676992844,0.4961301622418879,FO,True,Saliency_PTY'>
8,False,0.004166666666666667,0.03990423582895698,0.38535951327433626,FO,True,Saliency_PTY'>
9,False,0.17083333333333334,0.15502769506996975,0.5826714601769912,FO,True,Saliency_PTY'>
10,False,0.19583333333333333,0.15611598299510082,0.5816998525073747,FO,True,Saliency_PTY'>
11,True,0.2375,0.424614267213771,0.6888495575221238,FO,True,Saliency_PTY'>
12,False,0.025,0.048256352811077825,0.34535582595870207,FO,True,Saliency_PTY'>
13,True,0.4,0.35944522061612993,0.6917256637168141,FO,True,Saliency_PTY'>
14,False,0.13333333333333333,0.08352948148834871,0.5378337020648968,FO,True,Saliency_PTY'>
15,False,0.020833333333333332,0.04706983693934853,0.4350424041297935,FO,True,Saliency_PTY'>
16,False,0.04583333333333333,0.061855911332457415,0.45235066371681415,FO,True,Saliency_PTY'>
17,False,0.29583333333333334,0.19538736130900827,0.6821865781710914,FO,True,Saliency_PTY'>
18,False,0.07083333333333333,0.025977464433610032,0.5178576696165191,FO,True,Saliency_PTY'>
19,False,0.08333333333333333,0.08930604846638203,0.519120575221239,FO,True,Saliency_PTY'>
