,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,0.19617398396722918,0.309460817647279,IG,False,Saliency_PTY'>
1,0.18191390691140524,0.25136054624730714,IG,False,Saliency_PTY'>
2,0.17633390826426956,0.2255242206382737,IG,False,Saliency_PTY'>
3,0.20641547072774755,0.3294165600399196,IG,False,Saliency_PTY'>
4,0.2646279071573283,0.29298618333190757,IG,False,Saliency_PTY'>
5,0.18282540440584122,0.29467587528429995,IG,False,Saliency_PTY'>
6,0.193419734034725,0.3413017056063233,IG,False,Saliency_PTY'>
7,0.16712540302955586,0.3243895881609878,IG,False,Saliency_PTY'>
8,0.24425118161537976,0.33875473184064475,IG,False,Saliency_PTY'>
9,0.1705394609892384,0.30885845856941097,IG,False,Saliency_PTY'>
10,0.20681021753546594,0.32546114147056987,IG,False,Saliency_PTY'>
11,0.19175250214793593,0.3490453923484687,IG,False,Saliency_PTY'>
12,0.18428866455209678,0.2304893603867718,IG,False,Saliency_PTY'>
13,0.13651999465353196,0.2301211441690536,IG,False,Saliency_PTY'>
14,0.19135867279671198,0.2916906582147331,IG,False,Saliency_PTY'>
15,0.21280953190602575,0.30375570635177485,IG,False,Saliency_PTY'>
16,0.16334287260597313,0.3360243696343727,IG,False,Saliency_PTY'>
17,0.1544843660978547,0.20797698544475804,IG,False,Saliency_PTY'>
18,0.16766690482659105,0.28124851259723543,IG,False,Saliency_PTY'>
19,0.26123741987681154,0.27964954848548107,IG,False,Saliency_PTY'>
