,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,0.18485731867826688,0.20269144023064192,GS,False,Saliency_PTY'>
1,0.20895920897047798,0.2666390063146963,GS,False,Saliency_PTY'>
2,0.15887622814262814,0.19559910283986803,GS,False,Saliency_PTY'>
3,0.2122379603140494,0.2359460448168196,GS,False,Saliency_PTY'>
4,0.24931295741406684,0.2572399314516625,GS,False,Saliency_PTY'>
5,0.23502788999977428,0.2598273876373229,GS,False,Saliency_PTY'>
6,0.1924889141962946,0.22137834207074913,GS,False,Saliency_PTY'>
7,0.18936943770478676,0.20516043999507677,GS,False,Saliency_PTY'>
8,0.1974445498995972,0.21500195773038402,GS,False,Saliency_PTY'>
9,0.2308490908650031,0.24692008604919644,GS,False,Saliency_PTY'>
10,0.2370946459134494,0.2562356898756579,GS,False,Saliency_PTY'>
11,0.20834489344136803,0.2254883275052461,GS,False,Saliency_PTY'>
12,0.175700947766282,0.19869907720143795,GS,False,Saliency_PTY'>
13,0.21986440245355193,0.265342479279282,GS,False,Saliency_PTY'>
14,0.17134423693805803,0.21906794938394628,GS,False,Saliency_PTY'>
15,0.2263217187350161,0.24208782779829452,GS,False,Saliency_PTY'>
16,0.13163231719464658,0.18170464977724593,GS,False,Saliency_PTY'>
17,0.21437464068698908,0.23917698721125755,GS,False,Saliency_PTY'>
18,0.20099572943711905,0.21750305614082704,GS,False,Saliency_PTY'>
19,0.22427152714583998,0.26391444618714355,GS,False,Saliency_PTY'>
