,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,0.15887813466050402,0.174963061115558,GRAD,True,Saliency_PTY'>
1,0.16612327589672318,0.22251125440370442,GRAD,True,Saliency_PTY'>
2,0.09917151301571792,0.16652450735333477,GRAD,True,Saliency_PTY'>
3,0.16646663748149454,0.19564139906952197,GRAD,True,Saliency_PTY'>
4,0.1442489510194049,0.16086657082097974,GRAD,True,Saliency_PTY'>
5,0.1652297442527879,0.18920039914218276,GRAD,True,Saliency_PTY'>
6,0.13069390080989135,0.21446856710285822,GRAD,True,Saliency_PTY'>
7,0.14612692664400573,0.17687527108977663,GRAD,True,Saliency_PTY'>
8,0.127640893940715,0.17790883501615196,GRAD,True,Saliency_PTY'>
9,0.07162118602478171,0.11505062427109446,GRAD,True,Saliency_PTY'>
10,0.27873550188490637,0.28583660380223985,GRAD,True,Saliency_PTY'>
11,0.05558673115744944,0.1358755695874296,GRAD,True,Saliency_PTY'>
12,0.1185636251670609,0.16070087626971735,GRAD,True,Saliency_PTY'>
13,0.16915865542078098,0.1945808101040734,GRAD,True,Saliency_PTY'>
14,0.13679614419675723,0.1920089870021849,GRAD,True,Saliency_PTY'>
15,0.10138858950146454,0.1234096858811041,GRAD,True,Saliency_PTY'>
16,0.13195259133079593,0.16510289643226853,GRAD,True,Saliency_PTY'>
17,0.07209536433013633,0.10817116095888876,GRAD,True,Saliency_PTY'>
18,0.16179891948794078,0.19483968457252468,GRAD,True,Saliency_PTY'>
19,0.09085543229055876,0.11883036124926402,GRAD,True,Saliency_PTY'>
