,AverageSensitivity,MaxSensitivity,transformer,epochs,explanation
0,0.695515058922916,0.7025707919181897,authentic_opposing_information,100,TSEvo'>
1,0.5849533458689173,0.5923567217049398,authentic_opposing_information,100,TSEvo'>
2,0.6211594519658619,0.6297965051614792,authentic_opposing_information,100,TSEvo'>
3,0.6050495871994179,0.6150381487715294,authentic_opposing_information,100,TSEvo'>
4,0.5873205615383927,0.5970466644985853,authentic_opposing_information,100,TSEvo'>
5,0.6863323880756008,0.695412614666119,authentic_opposing_information,100,TSEvo'>
6,0.6516141708374826,0.6657724746552813,authentic_opposing_information,100,TSEvo'>
7,0.6784680283476262,0.688396039496762,authentic_opposing_information,100,TSEvo'>
8,0.5362632141618072,0.5465330378554187,authentic_opposing_information,100,TSEvo'>
9,0.5462982522355154,0.5636158351043177,authentic_opposing_information,100,TSEvo'>
10,0.5209286065138452,0.5243007348515931,authentic_opposing_information,100,TSEvo'>
11,0.6427530363818126,0.652367685358641,authentic_opposing_information,100,TSEvo'>
12,0.5718347601096273,0.5840247588033203,authentic_opposing_information,100,TSEvo'>
13,0.6418873395423439,0.6539649623082533,authentic_opposing_information,100,TSEvo'>
14,0.593425492904391,0.5998371908709547,authentic_opposing_information,100,TSEvo'>
15,0.609605471317743,0.6194484214331365,authentic_opposing_information,100,TSEvo'>
16,0.6595463629560016,0.6717632196647706,authentic_opposing_information,100,TSEvo'>
17,0.6770548297449328,0.688084271451982,authentic_opposing_information,100,TSEvo'>
18,0.49853171595009904,0.5061444860309935,authentic_opposing_information,100,TSEvo'>
19,0.491007496190884,0.49903886197727687,authentic_opposing_information,100,TSEvo'>
