,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,0.33601633761845934,GRAD,False,Saliency_PTY'>
1,True,0.3724731412070249,GRAD,False,Saliency_PTY'>
2,True,-0.07219730538312649,GRAD,False,Saliency_PTY'>
3,True,0.32646459741981276,GRAD,False,Saliency_PTY'>
4,True,-0.22622471491516302,GRAD,False,Saliency_PTY'>
5,True,0.3974655146487668,GRAD,False,Saliency_PTY'>
6,True,0.29629961776532965,GRAD,False,Saliency_PTY'>
7,True,0.34037753305666446,GRAD,False,Saliency_PTY'>
8,True,0.4468104461345826,GRAD,False,Saliency_PTY'>
9,True,0.029887911602170074,GRAD,False,Saliency_PTY'>
10,True,0.013542003580093328,GRAD,False,Saliency_PTY'>
11,True,0.5582749150977243,GRAD,False,Saliency_PTY'>
12,True,0.4137528195328344,GRAD,False,Saliency_PTY'>
13,True,0.46004147061976214,GRAD,False,Saliency_PTY'>
14,True,0.4889332495284076,GRAD,False,Saliency_PTY'>
15,True,0.029360991860291875,GRAD,False,Saliency_PTY'>
16,True,-0.002935610789502306,GRAD,False,Saliency_PTY'>
17,True,0.2772626344702307,GRAD,False,Saliency_PTY'>
18,True,0.4147331639476288,GRAD,False,Saliency_PTY'>
19,True,0.37811577652013273,GRAD,False,Saliency_PTY'>
