,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,0.7096692138628518,SG,False,Saliency_PTY'>
1,True,-0.24284071209842506,SG,False,Saliency_PTY'>
2,True,-0.1892696829967497,SG,False,Saliency_PTY'>
3,True,0.6987112741012033,SG,False,Saliency_PTY'>
4,True,-0.31805494744800883,SG,False,Saliency_PTY'>
5,True,0.7004844320730372,SG,False,Saliency_PTY'>
6,True,0.7126792106515571,SG,False,Saliency_PTY'>
7,True,0.6861183777456061,SG,False,Saliency_PTY'>
8,True,-0.3454745629665551,SG,False,Saliency_PTY'>
9,True,0.7244969905012277,SG,False,Saliency_PTY'>
10,True,0.6071349738332786,SG,False,Saliency_PTY'>
11,True,0.7160003857983799,SG,False,Saliency_PTY'>
12,True,-0.29241512095392297,SG,False,Saliency_PTY'>
13,True,0.6347620269248495,SG,False,Saliency_PTY'>
14,True,-0.32290403717102406,SG,False,Saliency_PTY'>
15,True,-0.30523669212710675,SG,False,Saliency_PTY'>
16,True,0.648848671862415,SG,False,Saliency_PTY'>
17,True,-0.2761090979708208,SG,False,Saliency_PTY'>
18,True,0.528236437635254,SG,False,Saliency_PTY'>
19,True,0.7135585612786564,SG,False,Saliency_PTY'>
