,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,0.2341924091950046,IG,False,Saliency_PTY'>
1,True,-0.14326731908032433,IG,False,Saliency_PTY'>
2,True,0.19429470583840155,IG,False,Saliency_PTY'>
3,True,-0.17771460777343842,IG,False,Saliency_PTY'>
4,True,0.1582566762549225,IG,False,Saliency_PTY'>
5,True,0.037939047475717136,IG,False,Saliency_PTY'>
6,True,0.07123891170464336,IG,False,Saliency_PTY'>
7,True,-0.11822788228841803,IG,False,Saliency_PTY'>
8,True,-0.026146081253271506,IG,False,Saliency_PTY'>
9,True,0.3022958211721231,IG,False,Saliency_PTY'>
10,True,0.10576222407449158,IG,False,Saliency_PTY'>
11,True,-0.0616638920895224,IG,False,Saliency_PTY'>
12,True,0.05412437091233268,IG,False,Saliency_PTY'>
13,True,-0.11936991808545518,IG,False,Saliency_PTY'>
14,True,-0.11825255052864385,IG,False,Saliency_PTY'>
15,True,0.1777981964568026,IG,False,Saliency_PTY'>
16,True,0.36477162760237514,IG,False,Saliency_PTY'>
17,True,0.22524462700358444,IG,False,Saliency_PTY'>
18,True,-0.16543077148726884,IG,False,Saliency_PTY'>
19,True,0.04179967904974086,IG,False,Saliency_PTY'>
