,monoton_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,True,-0.15934069812713914,authentic_opposing_information,100,TSEvo'>
1,True,-0.12319694814941437,authentic_opposing_information,100,TSEvo'>
2,True,-0.16101666590205277,authentic_opposing_information,100,TSEvo'>
3,True,0.18378124130091059,authentic_opposing_information,100,TSEvo'>
4,True,-0.3330054577473275,authentic_opposing_information,100,TSEvo'>
5,True,-0.0844444270274705,authentic_opposing_information,100,TSEvo'>
6,True,-0.20056546393180158,authentic_opposing_information,100,TSEvo'>
7,True,0.26463008698287677,authentic_opposing_information,100,TSEvo'>
8,True,-0.1461706232940228,authentic_opposing_information,100,TSEvo'>
9,True,0.23510967615421952,authentic_opposing_information,100,TSEvo'>
10,True,0.04779531977495098,authentic_opposing_information,100,TSEvo'>
11,True,0.3971316653405079,authentic_opposing_information,100,TSEvo'>
12,True,0.1011386684722692,authentic_opposing_information,100,TSEvo'>
13,True,0.21185411816346555,authentic_opposing_information,100,TSEvo'>
14,True,0.38278225999244286,authentic_opposing_information,100,TSEvo'>
15,True,-0.0763097613500463,authentic_opposing_information,100,TSEvo'>
16,True,-0.344696479687388,authentic_opposing_information,100,TSEvo'>
17,True,-0.22729855022822903,authentic_opposing_information,100,TSEvo'>
18,True,-0.05198377284272408,authentic_opposing_information,100,TSEvo'>
19,True,0.22460701092087593,authentic_opposing_information,100,TSEvo'>
