,AverageSensitivity_mean,MaxSensitivity_mean,AverageSensitivity_std,MaxSensitivity_std,transformer,epochs,Datasets,Typ,Generation,models,method,tsr
0,,,,,authentic_opposing_information,100,SimulatedTrainingData_Moving_Middle_NARMA_F_50_TS_50.npy,Middle,NARMA,LSTM,,
1,0.0027856314459104945,0.046412690635598705,0.0101782126646509,0.1165811222151608,,,SimulatedTrainingData_Moving_Middle_NARMA_F_50_TS_50.npy,Middle,NARMA,LSTM,FO,False
2,0.022545865944636027,0.20621563873353174,0.050089308088304633,0.45804104436912774,,,SimulatedTrainingData_Moving_Middle_NARMA_F_50_TS_50.npy,Middle,NARMA,LSTM,FO,True
3,,,,,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,,
4,,,,,authentic_opposing_information,100,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,,
5,0.6033841582142444,0.96337183833217,0.15855656908321675,0.24618462599611257,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,FO,False
6,0.1197083565825183,0.22543475985765485,0.030886730299482044,0.0839607885812277,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,FO,True
7,,,,,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,PostionalTime,PseudoPeriodic,CNN,,
8,0.44249723886228143,0.5564223207765965,0.07824003960627329,0.07502154772578075,,,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,PostionalTime,PseudoPeriodic,CNN,FO,False
9,0.20782185750709115,0.23961437888029624,0.06901915923379742,0.07293805724641601,,,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,PostionalTime,PseudoPeriodic,CNN,FO,True
10,,,,,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,PostionalTime,PseudoPeriodic,LSTM,,
11,0.49345209130722106,0.6211407066697008,0.06490666164410511,0.07294017575644149,,,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,PostionalTime,PseudoPeriodic,LSTM,FO,False
12,0.10249281692186904,0.13464784342185035,0.03168664961569693,0.034754422546320565,,,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_50_TS_50.npy,PostionalTime,PseudoPeriodic,LSTM,FO,True
13,,,,,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,,
14,,,,,authentic_opposing_information,100,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM,,
15,,,,,authentic_opposing_information,100,SimulatedTrainingData_PostionalFeature_Harmonic_F_50_TS_50.npy,PostionalFeature,Harmonic,LSTM,,
16,,,,,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_AutoRegressive_F_50_TS_50.npy,PostionalTime,AutoRegressive,CNN,,
17,,,,,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_AutoRegressive_F_50_TS_50.npy,PostionalTime,AutoRegressive,LSTM,,
