,AverageSensitivity,MaxSensitivity,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,0.001504826748601514,0.00282183857414958,1000,random,uniform,Lime,10,1,LEFTIST'>
1,0.0014024613447790033,0.0026253211613301106,1000,random,uniform,Lime,10,1,LEFTIST'>
2,0.0004009771297323563,0.0013577789403725821,1000,random,uniform,Lime,10,1,LEFTIST'>
3,0.0004845210286303722,0.0013086636826516273,1000,random,uniform,Lime,10,1,LEFTIST'>
4,0.00041388028249071473,0.0010919993327055263,1000,random,uniform,Lime,10,1,LEFTIST'>
5,0.00047440861359873774,0.0011301969516461499,1000,random,uniform,Lime,10,1,LEFTIST'>
6,0.0008189469060470071,0.0016736456844973152,1000,random,uniform,Lime,10,1,LEFTIST'>
7,0.0006032225943815373,0.001378351186658696,1000,random,uniform,Lime,10,1,LEFTIST'>
8,0.0010836067747185811,0.0021853136978195083,1000,random,uniform,Lime,10,1,LEFTIST'>
9,0.0009135724550784586,0.0016528651365484046,1000,random,uniform,Lime,10,1,LEFTIST'>
10,0.0005029362622878745,0.001603230218684258,1000,random,uniform,Lime,10,1,LEFTIST'>
11,0.00030420926828623795,0.001176585823379255,1000,random,uniform,Lime,10,1,LEFTIST'>
12,0.000548810663680302,0.0015493854993849812,1000,random,uniform,Lime,10,1,LEFTIST'>
13,0.000619604801270268,0.001695574802539291,1000,random,uniform,Lime,10,1,LEFTIST'>
14,0.0013555365507562289,0.002355432198754748,1000,random,uniform,Lime,10,1,LEFTIST'>
15,0.0016348463149589028,0.0025229423256048476,1000,random,uniform,Lime,10,1,LEFTIST'>
16,0.0005687745305880887,0.0015899608957403327,1000,random,uniform,Lime,10,1,LEFTIST'>
17,0.0012816034239997828,0.0021946160657314367,1000,random,uniform,Lime,10,1,LEFTIST'>
18,0.0006621656878730819,0.0012416470491337683,1000,random,uniform,Lime,10,1,LEFTIST'>
19,0.001233112466067042,0.002552098024049017,1000,random,uniform,Lime,10,1,LEFTIST'>
