,AverageSensitivity,MaxSensitivity,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,0.17566530755220988,0.17858993244127264,1000,random,uniform,Lime,10,1,LEFTIST'>
1,0.244463189836491,0.4627157521764898,1000,random,uniform,Lime,10,1,LEFTIST'>
2,0.15767377660668375,0.1625549535117371,1000,random,uniform,Lime,10,1,LEFTIST'>
3,0.15316366352033933,0.15327878997270755,1000,random,uniform,Lime,10,1,LEFTIST'>
4,0.43025567354268573,0.6166561509586492,1000,random,uniform,Lime,10,1,LEFTIST'>
5,0.15913328951811007,0.4111948482061542,1000,random,uniform,Lime,10,1,LEFTIST'>
6,0.4762180619727151,0.6301924306289035,1000,random,uniform,Lime,10,1,LEFTIST'>
7,0.1990071202844704,0.1990075441056389,1000,random,uniform,Lime,10,1,LEFTIST'>
8,0.3408944973649601,0.3709691405848424,1000,random,uniform,Lime,10,1,LEFTIST'>
9,0.07837653624847361,0.34844390635241285,1000,random,uniform,Lime,10,1,LEFTIST'>
10,0.1513301281789461,0.3502789491636177,1000,random,uniform,Lime,10,1,LEFTIST'>
11,0.2868411642680887,0.3107063507154102,1000,random,uniform,Lime,10,1,LEFTIST'>
12,0.18823623483500665,0.3682860279328379,1000,random,uniform,Lime,10,1,LEFTIST'>
13,0.36534799588783706,0.5895813871871904,1000,random,uniform,Lime,10,1,LEFTIST'>
14,0.3835202460100088,0.5580891955290165,1000,random,uniform,Lime,10,1,LEFTIST'>
15,0.16857316093158867,0.16878880393705079,1000,random,uniform,Lime,10,1,LEFTIST'>
16,0.12966184049055235,0.32494089594238573,1000,random,uniform,Lime,10,1,LEFTIST'>
17,0.29701858531456216,0.415188988145951,1000,random,uniform,Lime,10,1,LEFTIST'>
18,0.5831087205638367,0.6513120447905797,1000,random,uniform,Lime,10,1,LEFTIST'>
19,0.32053193460216356,0.3446086085092164,1000,random,uniform,Lime,10,1,LEFTIST'>
