,AverageSensitivity,MaxSensitivity,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,0.0901833621001927,0.12340300467845904,1000,random,uniform,Lime,10,1,LEFTIST'>
1,0.1622595769254679,0.19154567088540927,1000,random,uniform,Lime,10,1,LEFTIST'>
2,0.15966550662444784,0.20527360520316584,1000,random,uniform,Lime,10,1,LEFTIST'>
3,0.055435847922979474,0.11468619003361144,1000,random,uniform,Lime,10,1,LEFTIST'>
4,0.06333673060335591,0.06333673060335593,1000,random,uniform,Lime,10,1,LEFTIST'>
5,0.08152817015866246,0.08152817015866244,1000,random,uniform,Lime,10,1,LEFTIST'>
6,0.056920205293048386,0.05692020529304838,1000,random,uniform,Lime,10,1,LEFTIST'>
7,0.068289340545777,0.0894607511198086,1000,random,uniform,Lime,10,1,LEFTIST'>
8,0.06455202165583276,0.06455202165583275,1000,random,uniform,Lime,10,1,LEFTIST'>
9,0.08689926964563748,0.10839373797705543,1000,random,uniform,Lime,10,1,LEFTIST'>
10,0.06413111000242151,0.0641311100024215,1000,random,uniform,Lime,10,1,LEFTIST'>
11,0.07171892823570045,0.07171892823570045,1000,random,uniform,Lime,10,1,LEFTIST'>
12,0.17922231387581344,0.2251362537420512,1000,random,uniform,Lime,10,1,LEFTIST'>
13,0.0684814150927722,0.06848141509277221,1000,random,uniform,Lime,10,1,LEFTIST'>
14,0.06569952847018108,0.06569952847018107,1000,random,uniform,Lime,10,1,LEFTIST'>
15,0.06848372323895545,0.06848372323895545,1000,random,uniform,Lime,10,1,LEFTIST'>
16,0.07838302836648867,0.12808753793877978,1000,random,uniform,Lime,10,1,LEFTIST'>
17,0.14856693669028198,0.1796755599284772,1000,random,uniform,Lime,10,1,LEFTIST'>
18,0.0654758008095618,0.06547580080956181,1000,random,uniform,Lime,10,1,LEFTIST'>
19,0.16362177943236908,0.18840247997440013,1000,random,uniform,Lime,10,1,LEFTIST'>
