,AverageSensitivity,MaxSensitivity,transformer,epochs,explanation
0,0.6527190273813608,0.7308023855938414,authentic_opposing_information,100,TSEvo'>
1,0.6020208027267453,0.6552844335137228,authentic_opposing_information,100,TSEvo'>
2,0.5932510293235349,0.6561675348846543,authentic_opposing_information,100,TSEvo'>
3,0.5939689039401708,0.6778695351233295,authentic_opposing_information,100,TSEvo'>
4,0.6225501239078444,0.6864849776328404,authentic_opposing_information,100,TSEvo'>
5,0.6263903748704298,0.7156030734080839,authentic_opposing_information,100,TSEvo'>
6,0.48637985215985646,0.6248565360793729,authentic_opposing_information,100,TSEvo'>
7,0.6228296115319756,0.7540225519064417,authentic_opposing_information,100,TSEvo'>
8,0.519156610178731,0.5565417189443872,authentic_opposing_information,100,TSEvo'>
9,0.568591503113494,0.6513331741405356,authentic_opposing_information,100,TSEvo'>
10,0.5644995960231363,0.6529438984443421,authentic_opposing_information,100,TSEvo'>
11,0.6188698202625188,0.719856864449521,authentic_opposing_information,100,TSEvo'>
12,0.6560543358613271,0.7227272911873811,authentic_opposing_information,100,TSEvo'>
13,0.6138114485838824,0.6762489827558089,authentic_opposing_information,100,TSEvo'>
14,0.6462715750819494,0.7276668135089558,authentic_opposing_information,100,TSEvo'>
15,0.6970263053334916,0.7995876301343589,authentic_opposing_information,100,TSEvo'>
16,0.42587728224179167,0.4649642124206179,authentic_opposing_information,100,TSEvo'>
17,0.5537829786429249,0.6556519508610472,authentic_opposing_information,100,TSEvo'>
18,0.587515411378897,0.6274214028286712,authentic_opposing_information,100,TSEvo'>
19,0.7868841025037201,0.8530850472992599,authentic_opposing_information,100,TSEvo'>
