,AverageSensitivity,MaxSensitivity,transformer,epochs,explanation
0,0.45883352070589584,0.4902516550168517,authentic_opposing_information,100,TSEvo'>
1,0.35747285311182814,0.4082160276943039,authentic_opposing_information,100,TSEvo'>
2,0.47692967714889845,0.564136532232264,authentic_opposing_information,100,TSEvo'>
3,0.4011725026435699,0.48801113317902295,authentic_opposing_information,100,TSEvo'>
4,0.4432469684867331,0.5362458192220797,authentic_opposing_information,100,TSEvo'>
5,0.43481933634967423,0.5120518391234462,authentic_opposing_information,100,TSEvo'>
6,0.736240554671632,0.8636745741832469,authentic_opposing_information,100,TSEvo'>
7,0.47853682408360887,0.5607421426590369,authentic_opposing_information,100,TSEvo'>
8,1.1421808399754478,1.2830179039711886,authentic_opposing_information,100,TSEvo'>
9,0.4460991880673896,0.4946430376297305,authentic_opposing_information,100,TSEvo'>
10,0.5081801024914623,0.6354169965068309,authentic_opposing_information,100,TSEvo'>
11,0.4228130258863615,0.5077975766957594,authentic_opposing_information,100,TSEvo'>
12,0.6417911706910856,0.7003835809167556,authentic_opposing_information,100,TSEvo'>
13,0.41682521943759043,0.4882888376718318,authentic_opposing_information,100,TSEvo'>
14,0.49217178896804736,0.5651274097803222,authentic_opposing_information,100,TSEvo'>
15,0.4005518081212422,0.4800844686478329,authentic_opposing_information,100,TSEvo'>
16,0.5278412171864537,0.6154603413838289,authentic_opposing_information,100,TSEvo'>
17,0.8319865650653282,0.8864719797813854,authentic_opposing_information,100,TSEvo'>
18,0.5720684287553496,0.6785721408838682,authentic_opposing_information,100,TSEvo'>
19,0.416984310853911,0.49777578247493076,authentic_opposing_information,100,TSEvo'>
