,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,0.007803445382587619,0.01267218574195522,GRAD,False,Saliency_PTY'>
1,0.008513594591370606,0.017610309449186987,GRAD,False,Saliency_PTY'>
2,0.008049878872698094,0.014638566792221887,GRAD,False,Saliency_PTY'>
3,0.007564764314999385,0.017839289579946307,GRAD,False,Saliency_PTY'>
4,0.005709787626619807,0.009521267489954936,GRAD,False,Saliency_PTY'>
5,0.007839066976285357,0.015859991575496862,GRAD,False,Saliency_PTY'>
6,0.008119115985382175,0.02004671580535377,GRAD,False,Saliency_PTY'>
7,0.005308259267182631,0.012656198051472571,GRAD,False,Saliency_PTY'>
8,0.007543025151940887,0.015208709801262828,GRAD,False,Saliency_PTY'>
9,0.00812924707964927,0.021111471000908152,GRAD,False,Saliency_PTY'>
10,0.008317368966565443,0.018378385257148844,GRAD,False,Saliency_PTY'>
11,0.009593244270192192,0.02012664998448636,GRAD,False,Saliency_PTY'>
12,0.008491017993408028,0.018758850504617775,GRAD,False,Saliency_PTY'>
13,0.009945485926153281,0.023529077600721725,GRAD,False,Saliency_PTY'>
14,0.008873656402688525,0.018038378385461958,GRAD,False,Saliency_PTY'>
15,0.00834719823923703,0.015712373356673203,GRAD,False,Saliency_PTY'>
16,0.0073011027925523235,0.017725115968125506,GRAD,False,Saliency_PTY'>
17,0.008049171755152287,0.017420392387653895,GRAD,False,Saliency_PTY'>
18,0.009359598131465587,0.023397492614025114,GRAD,False,Saliency_PTY'>
19,0.010531765827439463,0.01822017201711423,GRAD,False,Saliency_PTY'>
