,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,0.9116199966609505,1.0213097797564241,SG,True,Saliency_PTY'>
1,0.8254587573652211,0.9323121852806275,SG,True,Saliency_PTY'>
2,0.9380668162088822,1.0709608882042565,SG,True,Saliency_PTY'>
3,0.9986542975066076,1.1099456812528299,SG,True,Saliency_PTY'>
4,0.9174566415943246,1.0136067611739317,SG,True,Saliency_PTY'>
5,0.9729855492855993,1.1475539981509586,SG,True,Saliency_PTY'>
6,0.8272622746378543,0.9938068320028458,SG,True,Saliency_PTY'>
7,0.9857520778094436,1.0882400701447021,SG,True,Saliency_PTY'>
8,0.942289602461709,1.07340736449596,SG,True,Saliency_PTY'>
9,0.9336244291706857,0.9915574358567018,SG,True,Saliency_PTY'>
10,0.9073051077080507,1.0226194244004032,SG,True,Saliency_PTY'>
11,0.9322377051288356,1.1367261074011483,SG,True,Saliency_PTY'>
12,1.0020717538994461,1.0865225814572572,SG,True,Saliency_PTY'>
13,0.94066034296661,1.016608592684183,SG,True,Saliency_PTY'>
14,0.9498673728140432,1.0668524380112656,SG,True,Saliency_PTY'>
15,0.8733976386046782,1.0276011691493854,SG,True,Saliency_PTY'>
16,0.8579666671147385,1.0608600112523805,SG,True,Saliency_PTY'>
17,0.9103801233346959,1.0234893277627144,SG,True,Saliency_PTY'>
18,0.9937259306569395,1.1080674969536553,SG,True,Saliency_PTY'>
19,0.9739706557223314,1.1526546250859715,SG,True,Saliency_PTY'>
