,AverageSensitivity,MaxSensitivity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,,0.5262238355809182,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
1,,0.45314732727045715,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
2,,0.8754957660557966,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
3,,0.39990486025494143,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
4,,0.4702567717566065,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
5,,0.4872253598924246,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
6,,0.5400728275781633,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
7,,0.45957424013414405,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
8,,0.5057033276381987,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
9,,0.6885791702539853,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
10,,0.5163048746483897,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
11,,0.5934346495838109,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
12,,0.5374565903848206,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
13,,0.4599016828711651,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
14,,0.48307164007796816,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
15,,0.4644166983796922,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
16,,0.5253189969446328,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
17,,0.4345749918622078,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
18,,0.6359637525770232,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
19,,0.5754010880206287,50,NUN_CF,euclidean,500,1,NativeGuideCF'>
