,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,0.8859979214164598,1.1504596673654757,SG,True,Saliency_PTY'>
1,1.012300710196722,1.0828679578912745,SG,True,Saliency_PTY'>
2,0.913534805561941,1.0658407257076403,SG,True,Saliency_PTY'>
3,0.9249689243505816,1.0288379440024376,SG,True,Saliency_PTY'>
4,0.882279334836895,1.0067290357221454,SG,True,Saliency_PTY'>
5,0.925725215476471,1.0840263862992943,SG,True,Saliency_PTY'>
6,1.047819744132862,1.1742038032143074,SG,True,Saliency_PTY'>
7,0.9155973189964668,1.011582326971949,SG,True,Saliency_PTY'>
8,1.0028586993028195,1.1597158949023205,SG,True,Saliency_PTY'>
9,0.8989799399958269,1.053238263039874,SG,True,Saliency_PTY'>
10,1.1002011093290966,1.2046506772448913,SG,True,Saliency_PTY'>
11,0.9998821907852244,1.1012766616946674,SG,True,Saliency_PTY'>
12,0.8199395001409512,1.0080688092576255,SG,True,Saliency_PTY'>
13,1.0342072394113109,1.200928504391358,SG,True,Saliency_PTY'>
14,0.8945902098810468,1.017595422128362,SG,True,Saliency_PTY'>
15,0.9731321541675134,1.1506713904325436,SG,True,Saliency_PTY'>
16,1.0863199611868242,1.2568816667296956,SG,True,Saliency_PTY'>
17,0.8630389134023677,0.9793299463062245,SG,True,Saliency_PTY'>
18,1.0448494168590223,1.1995452732689582,SG,True,Saliency_PTY'>
19,0.9941617229772778,1.142043023496102,SG,True,Saliency_PTY'>
