,monoton_uniform_mean,faithfulness_correlation_uniform_mean,monoton_mean_mean,faithfulness_correlation_mean_mean,monoton_synthetic_mean,faithfulness_correlation_synthetic_flex_mean,monoton_uniform_std,faithfulness_correlation_uniform_std,monoton_mean_std,faithfulness_correlation_mean_std,monoton_synthetic_std,faithfulness_correlation_synthetic_flex_std,method,tsr,Datasets,Typ,Generation,models,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,transformer,epochs,faithfulness_correlation_synthtic_flex_mean,faithfulness_correlation_synthtic_flex_std,monoton_synthtic_mean,monoton_synthtic_std
0,0.0,0.07207878629234113,1.0,0.024944111668818766,1.0,-0.011151651710224409,0.0,0.15227132873544375,0.0,0.2611103219395917,0.0,0.1264909078446237,FO,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
1,0.0,0.02604365395306693,1.0,0.04518818107806533,1.0,-0.026811831712566552,0.0,0.10956801644824445,0.0,0.14086896925696932,0.0,0.08732682366040935,SG,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
2,0.0,0.10542556692397795,1.0,0.10952823283568666,1.0,0.039703114817079097,0.0,0.13645753171654917,0.0,0.2741169322893819,0.0,0.11351608451873957,GS,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
3,0.0,0.01132807436329381,1.0,0.006363527733316371,1.0,-0.0063466689706629985,0.0,0.1352790154690376,0.0,0.20911083535280367,0.0,0.1511477626489697,GRAD,False,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
4,0.0,-0.03667892930396727,1.0,-0.07081518754162616,1.0,0.0036515190453775153,0.0,0.10975020652593283,0.0,0.14495428660256363,0.0,0.1024164519296963,FO,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
5,0.0,0.005198306981539185,1.0,0.02649134091507017,1.0,-0.010013938730383833,0.0,0.08937519668217062,0.0,0.1247359992327236,0.0,0.16272399329628728,SG,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
6,0.0,-0.003415789055542545,1.0,-0.01628035941977051,1.0,0.03902561410214151,0.0,0.15808416129566433,0.0,0.1739766873758224,0.0,0.12749198795710845,GS,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
7,0.0,-0.013157640660627735,1.0,-0.02526162830702718,1.0,-0.03930364753052814,0.0,0.09783381842814741,0.0,0.14373291465748433,0.0,0.10120677668053474,GRAD,True,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,,,,,,,,,,,,
8,0.0,0.11313556324408362,1.0,0.1905670338945731,1.0,-0.046917133968854614,0.0,0.12678469758672672,0.0,0.14820168657374622,0.0,0.17164725300482628,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,1000,random,uniform,SHAP,10,1,,,,,,
9,0.0,-0.04927395301941097,1.0,-0.09048073511024685,1.0,-0.0035987112712703695,0.0,0.12795757966354843,0.0,0.17443989216781364,0.0,0.1110582801826556,,,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN,1000,random,uniform,Lime,10,1,,,,,,
10,0.0,-0.01828224406842489,1.0,-0.04313416730094847,1.0,-0.0405186619664414,0.0,0.1534063752320687,0.0,0.22534342010774258,0.0,0.1884110287220988,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,LSTM,,,,,,,mutate_both,100,,,,
11,0.0,-0.005644758111534515,1.0,0.005832404273953818,1.0,-0.019920015068336617,0.0,0.14677072522561302,0.0,0.26730017337583917,0.0,0.15698948284900732,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,LSTM,,,,,,,authentic_opposing_information,100,,,,
12,0.0,0.09792003913889517,1.0,-0.001033890439365226,1.0,0.08600780493485312,0.0,0.4456090996394311,0.0,0.7035291852001307,0.0,0.6976497962824892,FO,False,SimulatedTrainingData_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,LSTM,,,,,,,,,,,,
