,monoton_uniform_mean,monoton_corr_uniform_mean,faithfulness_correlation_uniform_mean,monoton_mean_mean,monoton_corr_mean_mean,faithfulness_correlation_mean_mean,monoton_synthetic_mean,monoton_corr_synthetic_mean,faithfulness_correlation_synthetic_mean,monoton_uniform_std,monoton_corr_uniform_std,faithfulness_correlation_uniform_std,monoton_mean_std,monoton_corr_mean_std,faithfulness_correlation_mean_std,monoton_synthetic_std,monoton_corr_synthetic_std,faithfulness_correlation_synthetic_std,ts_length,method,distance_measure,max_iter,n_neighbors,Datasets,Typ,Generation,models
0,0.0,-0.0661775173847004,-0.017629572126664043,1.0,0.00047120085845503754,-0.0579148876137769,1.0,-0.07337551001789544,-0.033596262728740965,0.0,0.209794382538593,0.13281341974071806,0.0,0.15995966189989366,0.177654347125048,0.0,0.19974054721248627,0.15285094039739983,50,NG,dtw,500,1,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
1,0.0,-0.014230190560449319,0.004269667893420573,1.0,0.012799383743343938,-0.013741906780096977,1.0,0.09415532962300675,0.013256189323888768,0.0,0.15074535578184528,0.10010815056325979,0.0,0.17094361313410147,0.16793045116688607,0.0,0.1399938921636281,0.11691337990367788,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
2,0.0,0.06223785449777717,-0.005258616649522013,1.0,0.07223167512170053,-0.04467202854415956,1.0,-0.0023817098809509026,-0.01019635909757394,0.0,0.233841907909565,0.1431524112642756,0.0,0.20162713821659345,0.15145459208791084,0.0,0.21679320024926663,0.16504854035267938,50,NG,dtw,500,1,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,RareTime,AutoRegressive,CNN
3,0.0,0.0720617979163419,-0.02197845534129291,1.0,0.01657039185986595,-0.03143417685104283,1.0,-0.018164824882989206,-0.014900852951267776,0.0,0.18599722397506804,0.1521894665730564,0.0,0.14143877623976905,0.17565156015059175,0.0,0.15932873663175776,0.12867348988536717,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,RareTime,AutoRegressive,CNN
4,0.0,-0.031914460673143116,-0.005407657824194729,1.0,-0.023123200936583353,0.029505424134010482,1.0,-0.08378105008475176,0.07061788324364572,0.0,0.13568906726840738,0.10137947609244931,0.0,0.1351546356594272,0.11459728183178165,0.0,0.10464521509485679,0.12998240547264506,50,NG,dtw,500,1,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,PostionalTime,NARMA,CNN
5,0.0,0.024545372203611655,0.025910536414099995,1.0,0.02410302194503875,0.05936155344001563,1.0,0.010891696549896187,0.02091331410182034,0.0,0.16385472427263556,0.0879279040750963,0.0,0.1670320117624682,0.13363691985928872,0.0,0.19436192975993472,0.14638562069923203,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,PostionalTime,NARMA,CNN
6,0.0,-0.002432301659435468,0.009819247638794897,1.0,-0.009396896505840757,0.02034879364313342,1.0,-0.12112662345834727,0.03336570372737047,0.0,0.14714269900535168,0.09842255653135067,0.0,0.10191575967868578,0.13497952565266516,0.0,0.12409258554355591,0.1322282069359335,50,NG,dtw,500,1,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,PostionalTime,Box,CNN
7,0.0,-0.025871011225503428,0.022932344247960923,1.0,0.020103045340867938,-0.03608949062126342,1.0,-0.05198663495227364,0.0062387944339270624,0.0,0.1508545353094886,0.1098553459647209,0.0,0.13918438934537944,0.15848914469961434,0.0,0.09471706486199885,0.21613866392366318,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,PostionalTime,Box,CNN
8,0.0,0.018274608544550135,0.010303912890930444,1.0,-0.008657270437526536,0.04810359926101891,1.0,-0.010179162529387715,-0.013230824888526666,0.0,0.13179695910441316,0.09948053165398445,0.0,0.1466092085186819,0.1384800069843333,0.0,0.12337775021954774,0.10204027281048561,50,NG,dtw,500,1,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,PostionalTime,PseudoPeriodic,CNN
9,0.05,0.06323732578007782,0.00417827862200844,1.0,0.03736625493048065,0.02375543033205895,1.0,0.021045805048921385,-0.0148549251822784,0.22360679774997896,0.11980962959364776,0.10340879679825166,0.0,0.13071709151990699,0.14905488644796658,0.0,0.09574566356480349,0.10534081412407158,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,PostionalTime,PseudoPeriodic,CNN
10,,,,,,,,,,,,,,,,,,,50,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_NARMA_F_1_TS_50.npy,PostionalFeature,NARMA,CNN
11,,,,,,,,,,,,,,,,,,,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_NARMA_F_1_TS_50.npy,PostionalFeature,NARMA,CNN
12,0.0,-0.07041499107668238,-0.0013726240274489136,1.0,-0.04521594075020317,0.0036903345485308978,1.0,-0.050310049976484215,-0.0649359688975842,0.0,0.09777975734305347,0.09569118325736704,0.0,0.12251707681285044,0.1188647109638296,0.0,0.10371304709903925,0.15480610603766115,50,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,PostionalFeature,Harmonic,CNN
13,0.0,-0.0011455235977711864,-7.859875271289898e-06,1.0,0.029768582898800234,-0.008771451290281234,1.0,-0.024706979060486262,-0.0397219620425711,0.0,0.16104527852656214,0.08730083682383974,0.0,0.14703237447296563,0.10843942946020306,0.0,0.13181522130478432,0.14996337284234196,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,PostionalFeature,Harmonic,CNN
14,0.0,0.04308202645337272,-0.003590924807073016,1.0,0.0029351457072211767,-0.03257596845668957,1.0,-0.22513901241555945,0.03203682349178742,0.0,0.11481703812116345,0.13302526416987975,0.0,0.1288808544396468,0.15704284376990463,0.0,0.1127254996021167,0.1019876349165957,50,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,PostionalFeature,CAR,CNN
15,0.0,-0.019235368977025085,-0.03984063555635899,1.0,0.022940618752665537,0.03275179359802087,1.0,-0.012693616454481855,0.03440316360791335,0.0,0.17059086538722065,0.11066976721378939,0.0,0.14313153409777,0.13551488126710243,0.0,0.1810673304518592,0.10714248678171331,50,dtw_bary_center,dtw,500,1,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,PostionalFeature,CAR,CNN
16,0.0,0.03974738726402926,-0.026806384062345312,1.0,0.0654507336856005,0.028440473563001938,1.0,0.009518020870956424,-0.09644962677698432,0.0,0.13490430768180353,0.09503063075417312,0.0,0.13524530914767874,0.11543643123418251,0.0,0.09788945033201436,0.15683365314880293,50,NG,dtw,500,1,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,PostionalFeature,Box,CNN
