,complexity_mean,complexity_std,ts_length,method,distance_measure,max_iter,n_neighbors,Datasets,Typ,Generation,models
0,3.6698979155274714,0.055403602817655745,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_SmallMiddle_AutoRegressive_F_1_TS_50.npy,SmallMiddle,AutoRegressive,CNN
1,3.715974966827123,0.06987926878029944,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_RareTime_AutoRegressive_F_1_TS_50.npy,RareTime,AutoRegressive,CNN
2,3.7073490989433857,0.07782099273781085,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalTime_NARMA_F_1_TS_50.npy,PostionalTime,NARMA,CNN
3,3.7114246204549617,0.09458105992270999,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalTime_Box_F_1_TS_50.npy,PostionalTime,Box,CNN
4,3.732628211522752,0.09755772172179933,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,PostionalTime,PseudoPeriodic,CNN
5,3.7010850630548986,0.03829100951075817,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_NARMA_F_1_TS_50.npy,PostionalFeature,NARMA,CNN
6,3.8378826881117942,0.052513385934804015,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,PostionalFeature,Harmonic,CNN
7,3.692827044391545,0.09712121519872575,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,PostionalFeature,CAR,CNN
8,3.750136891480635,0.10429630132969275,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,PostionalFeature,Box,CNN
9,3.7819725305460365,0.06574266570720685,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,PostionalFeature,AutoRegressive,CNN
10,3.702334355208175,0.10031416238792676,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,SmallMiddle,NARMA,CNN
11,3.7959380476374607,0.066646045696395,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,SmallMiddle,Harmonic,CNN
12,3.705323039133515,0.07881872015932255,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,RareTime,PseudoPeriodic,CNN
13,3.7764795756519303,0.05304740823961928,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,RareTime,Harmonic,CNN
14,3.747717660183147,0.08718844094083116,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,RareTime,Box,CNN
15,3.6344215858656757,0.0959883098995122,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,RareFeature,CAR,CNN
16,3.764093779091932,0.09959208531809634,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,RareFeature,Box,CNN
17,3.8384772319594003,0.04433857660280723,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,Middle,Harmonic,CNN
18,3.735223691151718,0.07024455100692557,50,NUN_CF,euclidean,500,1,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,Middle,AutoRegressive,CNN
