,complexity_mean,complexity_std,transformer,epochs,Datasets,Typ,Generation,models,method,tsr
0,7.643372854896526,0.013255696092765758,authentic_opposing_information,100,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,,
1,7.393248091580271,0.09814735398204359,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,FO,False
2,5.232862878156232,0.34604133517757274,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,SG,False
3,4.737738530984046,0.11494246347573842,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GS,False
4,4.737532943888575,0.11667577738158512,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,IG,False
5,4.988788504812959,0.11953271685453012,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GRAD,False
6,6.317756210707181,0.11657144654406545,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,FO,True
7,7.158362418852772,0.0641378339047152,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,SG,True
8,7.230460875619379,0.057563282597348074,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GS,True
9,6.386904613745236,0.12048760095749957,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,IG,True
10,6.363219557852493,0.1284367063739083,,,SimulatedTrainingData_SmallMiddle_Box_F_50_TS_50.npy,SmallMiddle,Box,LSTM,GRAD,True
11,7.6396755899391025,0.02535809484535584,authentic_opposing_information,100,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,,
12,7.25827921877984,0.23514485628045712,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,FO,False
13,4.899869076058747,0.17913336261496188,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,SG,False
14,4.9167214105765,0.14919597105974117,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,GS,False
15,4.880078427389791,0.14171533487016705,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,IG,False
16,5.105481007461374,0.14329718964559243,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,GRAD,False
17,6.160679455369016,0.16917702136778903,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,FO,True
18,7.043472959186464,0.1588565963056757,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,SG,True
19,7.208081828326286,0.07339152647276928,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,GS,True
20,6.2163633412460255,0.10763473016014097,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,IG,True
21,6.181237864248954,0.17379966785805462,,,SimulatedTrainingData_RareTime_PseudoPeriodic_F_50_TS_50.npy,RareTime,PseudoPeriodic,LSTM,GRAD,True
22,7.629218185607984,0.016954247211286688,authentic_opposing_information,100,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,,
23,6.439742376903067,1.2027531823452509,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,FO,False
24,5.780037801304036,0.28929218018309505,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,SG,False
25,5.238289315369234,0.49312852622876946,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,GS,False
26,5.48559379900803,0.6184357705406457,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,IG,False
27,5.53694399429218,0.5129866976828151,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,GRAD,False
28,4.833970160097738,1.6750740711911087,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,FO,True
29,6.846761998672799,0.1376516736502487,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,SG,True
30,6.06376916303437,1.3683185443566768,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,GS,True
31,4.405436318587266,1.4041356330807107,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,IG,True
32,4.938725348547161,1.6414941728833738,,,SimulatedTrainingData_RareTime_CAR_F_50_TS_50.npy,RareTime,CAR,LSTM,GRAD,True
33,7.6342757716129075,0.018316532338131446,authentic_opposing_information,100,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,,
34,6.989018683297692,0.8797857767991698,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,FO,False
35,6.947531268792256,0.2846726898848255,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,SG,False
36,7.136909090831945,0.4673199897824471,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GS,False
37,7.208997129438615,0.19413472395534112,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,IG,False
38,6.2239788395840225,0.4911413183835271,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GRAD,False
39,6.04722996176906,0.8583020622310102,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,FO,True
40,6.850864244977513,0.1736836263918996,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,SG,True
41,6.257097075017915,0.9485411669342382,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GS,True
42,6.5080536185461995,0.4479718698727007,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,IG,True
43,5.899121624442198,1.0028145390998744,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GRAD,True
44,7.6426381423407195,0.009160946507442654,authentic_opposing_information,100,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,,
45,6.516505914173186,1.4080235106729218,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,FO,False
46,7.431653456264966,0.11947377590057916,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,SG,False
