,monoton_synthetic_mean,faithfulness_correlation_synthetic_mean,monoton_synthetic_std,faithfulness_correlation_synthetic_std,method,tsr,Datasets,Typ,Generation,models,transformer,epochs
0,1.0,-0.009292032052167014,0.0,0.1048768871849319,SG,True,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,Middle,CAR,LSTM,,
1,1.0,0.005001447582567464,0.0,0.11498332331654335,GS,True,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,Middle,CAR,LSTM,,
2,1.0,0.05057016259637039,0.0,0.1562336889005707,IG,True,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,Middle,CAR,LSTM,,
3,1.0,0.15246533780537813,0.0,0.1834119593559535,GRAD,True,SimulatedTrainingData_Middle_CAR_F_50_TS_50.npy,Middle,CAR,LSTM,,
4,1.0,0.01371992786989717,0.0,0.11891782037979047,,,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,authentic_opposing_information,100
5,1.0,0.01207494143772038,0.0,0.13458395780726232,FO,False,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
6,1.0,0.15782972573753906,0.0,0.15721567154101782,SG,False,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
7,1.0,0.04361633645391658,0.0,0.14710215176493274,GS,False,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
8,1.0,0.1281246579403271,0.0,0.18229074162338,IG,False,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
9,1.0,0.23531494360918842,0.0,0.19868305635230832,GRAD,False,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
10,1.0,0.07961713454869433,0.0,0.179295306642767,FO,True,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
11,1.0,-0.012507569369394896,0.0,0.09222339224790457,SG,True,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
12,1.0,0.031976827496727825,0.0,0.1255424939346826,GS,True,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
13,1.0,0.010518063561156563,0.0,0.15483570069714458,IG,True,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
14,1.0,0.03547467693311701,0.0,0.20465512731286284,GRAD,True,SimulatedTrainingData_Middle_AutoRegressive_F_50_TS_50.npy,Middle,AutoRegressive,LSTM,,
