,AverageSensitivity_mean,MaxSensitivity_mean,AverageSensitivity_std,MaxSensitivity_std,method,tsr,Datasets,Typ,Generation,models
0,0.07663986230372632,0.09810456597299681,0.016490863717686793,0.015363617281623138,GRAD,True,SimulatedTrainingData_SmallMiddle_CAR_F_50_TS_50.npy,SmallMiddle,CAR,LSTM
1,0.21091984974101835,0.268546366251626,0.0386142652667469,0.04517781523092532,SG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
2,0.15346231155838702,0.17589049365841014,0.0181503020833711,0.02102165890183329,GS,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
3,0.16996493856572337,0.18846605253505205,0.013072133820762877,0.013354904568399635,IG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
4,0.07113989697406546,0.1075646991610976,0.028620467917410932,0.048734904983936136,GRAD,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
5,0.33586965546598757,0.45279189779521173,0.047170247152148785,0.057110737894651716,SG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
6,0.4735198092550138,0.5861736019972269,0.09272686791457305,0.09957717222038327,GS,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
7,0.13485995696065273,0.16972750033149847,0.0453788311338827,0.05285480243558077,IG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
8,0.19535692794988185,0.2459663763739782,0.04248085077880152,0.054255004296642734,GRAD,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,CNN
9,0.23957153814837703,0.31102564821448175,0.03122856688523237,0.052360573336756915,SG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
10,0.17620295519373133,0.23411222332748816,0.05434414226583565,0.04643496880028901,GS,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
11,0.17437716955738145,0.24126432221004174,0.04874610360511367,0.038600672895374055,IG,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
12,0.13510762104420268,0.2057052503662386,0.08665565805975445,0.1203939871301342,GRAD,False,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
13,0.2818591157234786,0.4875094637411653,0.11423609740613916,0.09618206455474271,SG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
14,0.20854722353641275,0.6269317331522206,0.1746718185386939,0.36637764266226824,GS,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
15,0.2051907346593307,0.37657825199003636,0.09328928857915311,0.16371456321197556,IG,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
16,0.12250016528694829,0.1831172914637746,0.06407251888152389,0.09477957435276277,GRAD,True,SimulatedTrainingData_SmallMiddle_Harmonic_F_50_TS_50.npy,SmallMiddle,Harmonic,LSTM
17,0.22738722485884527,0.33032522356256033,0.03123397860805332,0.039176302600973,SG,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
18,0.08636708527935309,0.22685923793649138,0.06886215000316898,0.054913698491999834,GS,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
19,0.1830325434027547,0.27277136832826715,0.03289224212077499,0.02824045012929896,IG,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
20,0.0010140582526927317,0.009527769965217831,0.004534990324359749,0.04260944806104928,GRAD,False,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
21,0.209463222337892,0.6966793980733852,0.03759677916586209,0.25914567272419026,SG,True,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
22,0.1152702288465606,0.47231758430908244,0.051853314824666076,0.5354798273399856,GS,True,SimulatedTrainingData_SmallMiddle_PseudoPeriodic_F_50_TS_50.npy,SmallMiddle,PseudoPeriodic,LSTM
