,model,name,acc,f1,prec,rec,auc
0,LSTM,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,0.87,0.87,0.8333333333333334,0.9183673469387756,0.8731884057971017
1,LSTM_ATT,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,0.86,0.8599999999999999,0.8148148148148148,0.9166666666666666,0.8639291465378424
2,CNN,SimulatedTrainingData_Middle_AutoRegressive_F_1_TS_50.npy,0.96,0.96,0.9444444444444444,0.9807692307692308,0.961352657004831
3,LSTM,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,0.52,0.52,0.0,0.0,0.5
4,LSTM_ATT,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
5,CNN,SimulatedTrainingData_Middle_Box_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
6,LSTM,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
7,LSTM_ATT,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
8,CNN,SimulatedTrainingData_Middle_CAR_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
9,LSTM,SimulatedTrainingData_Middle_Harmonic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
10,LSTM_ATT,SimulatedTrainingData_Middle_Harmonic_F_1_TS_50.npy,0.99,0.99,1.0,0.9807692307692308,0.9897959183673468
11,CNN,SimulatedTrainingData_Middle_Harmonic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
12,LSTM,SimulatedTrainingData_Middle_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
13,LSTM_ATT,SimulatedTrainingData_Middle_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
14,CNN,SimulatedTrainingData_Middle_NARMA_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
15,LSTM,SimulatedTrainingData_Middle_PseudoPeriodic_F_1_TS_50.npy,0.47,0.47,1.0,0.47,0.5
16,LSTM_ATT,SimulatedTrainingData_Middle_PseudoPeriodic_F_1_TS_50.npy,0.99,0.99,0.9787234042553192,1.0,0.9893617021276596
17,CNN,SimulatedTrainingData_Middle_PseudoPeriodic_F_1_TS_50.npy,1.0,1.0,1.0,1.0,1.0
18,LSTM,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_1_TS_50.npy,0.55,0.55,0.7647058823529411,0.5416666666666666,0.5456182472989195
19,LSTM_ATT,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_1_TS_50.npy,0.51,0.51,1.0,0.51,0.5
20,CNN,SimulatedTrainingData_Moving_Middle_AutoRegressive_F_1_TS_50.npy,0.5,0.5,0.9803921568627452,0.5050505050505051,0.4901960784313725
21,LSTM,SimulatedTrainingData_Moving_Middle_Box_F_1_TS_50.npy,0.59,0.59,1.0,0.59,0.5
22,LSTM_ATT,SimulatedTrainingData_Moving_Middle_Box_F_1_TS_50.npy,0.59,0.59,1.0,0.59,0.5
23,CNN,SimulatedTrainingData_Moving_Middle_Box_F_1_TS_50.npy,0.59,0.59,0.9830508474576272,0.5918367346938775,0.5037205456800331
24,LSTM,SimulatedTrainingData_Moving_Middle_CAR_F_1_TS_50.npy,0.52,0.52,0.4615384615384615,0.5454545454545454,0.5224358974358975
25,LSTM_ATT,SimulatedTrainingData_Moving_Middle_CAR_F_1_TS_50.npy,0.48,0.48,0.0,0.0,0.5
26,CNN,SimulatedTrainingData_Moving_Middle_CAR_F_1_TS_50.npy,0.48,0.48,0.0,0.0,0.5
27,LSTM,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,0.54,0.54,0.5535714285714286,0.5961538461538461,0.5381493506493507
28,LSTM_ATT,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,0.56,0.56,1.0,0.56,0.5
29,CNN,SimulatedTrainingData_Moving_Middle_Harmonic_F_1_TS_50.npy,0.52,0.52,0.8035714285714286,0.5487804878048781,0.4813311688311688
30,LSTM,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_1_TS_50.npy,0.49,0.49,0.0,0.0,0.5
31,LSTM_ATT,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_1_TS_50.npy,0.49,0.49,0.0,0.0,0.5
32,CNN,SimulatedTrainingData_Moving_Middle_PseudoPeriodic_F_1_TS_50.npy,0.45,0.45,0.3333333333333333,0.4473684210526316,0.4523809523809523
33,LSTM,SimulatedTrainingData_Moving_RareFeature_AutoRegressive_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
34,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_AutoRegressive_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
35,CNN,SimulatedTrainingData_Moving_RareFeature_AutoRegressive_F_1_TS_50.npy,0.47,0.47,0.1224489795918367,0.375,0.4631852741096438
36,LSTM,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,0.54,0.54,0.0212765957446808,1.0,0.5106382978723404
37,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,0.53,0.53,0.0,0.0,0.5
38,CNN,SimulatedTrainingData_Moving_RareFeature_Box_F_1_TS_50.npy,0.44,0.44,0.5106382978723404,0.4210526315789473,0.443998394219189
39,LSTM,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,0.5,0.5,0.0,0.0,0.5
40,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,0.5,0.5,0.0,0.0,0.5
41,CNN,SimulatedTrainingData_Moving_RareFeature_CAR_F_1_TS_50.npy,0.49,0.49,0.58,0.4915254237288136,0.49
42,LSTM,SimulatedTrainingData_Moving_RareFeature_Harmonic_F_1_TS_50.npy,0.49,0.49,0.7,0.4929577464788732,0.49
43,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_Harmonic_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
44,CNN,SimulatedTrainingData_Moving_RareFeature_Harmonic_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
45,LSTM,SimulatedTrainingData_Moving_RareFeature_NARMA_F_1_TS_50.npy,0.47,0.47,1.0,0.47,0.5
46,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_NARMA_F_1_TS_50.npy,0.47,0.47,1.0,0.47,0.5
47,CNN,SimulatedTrainingData_Moving_RareFeature_NARMA_F_1_TS_50.npy,0.47,0.47,1.0,0.47,0.5
48,LSTM,SimulatedTrainingData_Moving_RareFeature_PseudoPeriodic_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
49,LSTM_ATT,SimulatedTrainingData_Moving_RareFeature_PseudoPeriodic_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
50,CNN,SimulatedTrainingData_Moving_RareFeature_PseudoPeriodic_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
51,LSTM,SimulatedTrainingData_Moving_RareTime_AutoRegressive_F_1_TS_50.npy,0.54,0.54,0.9444444444444444,0.5425531914893617,0.5048309178743962
52,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_AutoRegressive_F_1_TS_50.npy,0.54,0.54,1.0,0.54,0.5
53,CNN,SimulatedTrainingData_Moving_RareTime_AutoRegressive_F_1_TS_50.npy,0.48,0.48,0.5370370370370371,0.5178571428571429,0.4750402576489533
54,LSTM,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,0.48,0.48,1.0,0.48,0.5
55,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,0.48,0.48,1.0,0.48,0.5
56,CNN,SimulatedTrainingData_Moving_RareTime_Box_F_1_TS_50.npy,0.5,0.5,0.5625,0.4821428571428571,0.5024038461538461
57,LSTM,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,0.48,0.48,0.6666666666666666,0.4927536231884058,0.4761904761904761
58,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,0.51,0.51,1.0,0.51,0.5
59,CNN,SimulatedTrainingData_Moving_RareTime_Harmonic_F_1_TS_50.npy,0.5,0.5,0.6470588235294118,0.5076923076923077,0.4969987995198079
60,LSTM,SimulatedTrainingData_Moving_RareTime_NARMA_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
61,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_NARMA_F_1_TS_50.npy,0.53,0.53,0.2448979591836734,0.5454545454545454,0.5244097639055623
62,CNN,SimulatedTrainingData_Moving_RareTime_NARMA_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
63,LSTM,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,0.48,0.48,0.0,0.0,0.5
64,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,0.48,0.48,0.0,0.0,0.5
65,CNN,SimulatedTrainingData_Moving_RareTime_PseudoPeriodic_F_1_TS_50.npy,0.47,0.47,0.25,0.4814814814814814,0.4791666666666666
66,LSTM,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
67,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
68,CNN,SimulatedTrainingData_Moving_SmallMiddle_AutoRegressive_F_1_TS_50.npy,0.49,0.49,0.8,0.4938271604938271,0.4900000000000001
69,LSTM,SimulatedTrainingData_Moving_SmallMiddle_Box_F_1_TS_50.npy,0.48,0.48,1.0,0.48,0.5
70,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_Box_F_1_TS_50.npy,0.48,0.48,1.0,0.48,0.5
71,CNN,SimulatedTrainingData_Moving_SmallMiddle_Box_F_1_TS_50.npy,0.48,0.48,1.0,0.48,0.5
72,LSTM,SimulatedTrainingData_Moving_SmallMiddle_CAR_F_1_TS_50.npy,0.53,0.53,1.0,0.5252525252525253,0.5104166666666667
73,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_CAR_F_1_TS_50.npy,0.52,0.52,1.0,0.52,0.5
74,CNN,SimulatedTrainingData_Moving_SmallMiddle_CAR_F_1_TS_50.npy,0.52,0.52,1.0,0.52,0.5
75,LSTM,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,0.44,0.44,1.0,0.44,0.5
76,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,0.44,0.44,1.0,0.44,0.5
77,CNN,SimulatedTrainingData_Moving_SmallMiddle_Harmonic_F_1_TS_50.npy,0.55,0.55,0.5227272727272727,0.4893617021276595,0.547077922077922
78,LSTM,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
79,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,0.52,0.52,0.1428571428571428,0.5384615384615384,0.5126050420168067
80,CNN,SimulatedTrainingData_Moving_SmallMiddle_NARMA_F_1_TS_50.npy,0.55,0.55,0.4693877551020408,0.5476190476190477,0.5484193677470989
81,LSTM,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,0.47,0.47,1.0,0.47,0.5
82,LSTM_ATT,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,0.47,0.47,1.0,0.47,0.5
83,CNN,SimulatedTrainingData_Moving_SmallMiddle_PseudoPeriodic_F_1_TS_50.npy,0.47,0.47,1.0,0.47,0.5
84,LSTM,SimulatedTrainingData_Moving_Middle_NARMA_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
85,LSTM_ATT,SimulatedTrainingData_Moving_Middle_NARMA_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
86,CNN,SimulatedTrainingData_Moving_Middle_NARMA_F_1_TS_50.npy,0.5,0.5,1.0,0.5,0.5
87,LSTM,SimulatedTrainingData_Moving_RareTime_CAR_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
88,LSTM_ATT,SimulatedTrainingData_Moving_RareTime_CAR_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
89,CNN,SimulatedTrainingData_Moving_RareTime_CAR_F_1_TS_50.npy,0.51,0.51,0.0,0.0,0.5
90,LSTM,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,0.47,0.47,0.0,0.0,0.5
91,LSTM_ATT,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,0.47,0.47,0.0,0.0,0.5
92,CNN,SimulatedTrainingData_PostionalFeature_AutoRegressive_F_1_TS_50.npy,0.45,0.45,0.0754716981132075,0.4,0.4739060618225612
93,LSTM,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,0.54,0.54,0.0,0.0,0.5
94,LSTM_ATT,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,0.54,0.54,0.0,0.0,0.5
95,CNN,SimulatedTrainingData_PostionalTime_PseudoPeriodic_F_1_TS_50.npy,0.52,0.52,0.6956521739130435,0.4848484848484848,0.533011272141707
96,LSTM,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,0.63,0.63,0.9682539682539684,0.6354166666666666,0.5111540111540112
97,LSTM_ATT,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,0.63,0.63,1.0,0.63,0.5
98,CNN,SimulatedTrainingData_PostionalFeature_Box_F_1_TS_50.npy,0.39,0.39,0.1111111111111111,0.5833333333333334,0.487987987987988
99,LSTM,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,0.53,0.53,0.9433962264150944,0.5319148936170213,0.5036130068245684
100,LSTM_ATT,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,0.53,0.53,1.0,0.53,0.5
101,CNN,SimulatedTrainingData_PostionalFeature_CAR_F_1_TS_50.npy,0.54,0.54,0.3962264150943396,0.6,0.5491770373344039
102,LSTM,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,0.56,0.56,0.5490196078431373,0.5714285714285714,0.5602240896358543
103,LSTM_ATT,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,0.51,0.51,1.0,0.51,0.5
104,CNN,SimulatedTrainingData_PostionalFeature_Harmonic_F_1_TS_50.npy,0.49,0.49,0.2941176470588235,0.5,0.4939975990396158
105,LSTM,SimulatedTrainingData_PostionalFeature_NARMA_F_1_TS_50.npy,0.5,0.5,0.0196078431372549,1.0,0.5098039215686274
106,LSTM_ATT,SimulatedTrainingData_PostionalFeature_NARMA_F_1_TS_50.npy,0.49,0.49,0.0,0.0,0.5
107,CNN,SimulatedTrainingData_PostionalFeature_NARMA_F_1_TS_50.npy,0.49,0.49,0.0,0.0,0.5
108,LSTM,SimulatedTrainingData_PostionalFeature_PseudoPeriodic_F_1_TS_50.npy,0.52,0.52,0.0,0.0,0.5
109,LSTM_ATT,SimulatedTrainingData_PostionalFeature_PseudoPeriodic_F_1_TS_50.npy,0.52,0.52,0.0,0.0,0.5
110,CNN,SimulatedTrainingData_PostionalFeature_PseudoPeriodic_F_1_TS_50.npy,0.52,0.52,0.0,0.0,0.5
