,complexity,method,tsr,explanation
0,6.386714880885534,GRAD,False,Saliency_PTY'>
1,5.12325347289309,GRAD,False,Saliency_PTY'>
2,6.321519518062609,GRAD,False,Saliency_PTY'>
3,4.986133243194122,GRAD,False,Saliency_PTY'>
4,4.564587898036081,GRAD,False,Saliency_PTY'>
5,6.42267892258225,GRAD,False,Saliency_PTY'>
6,3.949808936780516,GRAD,False,Saliency_PTY'>
7,3.951397189704477,GRAD,False,Saliency_PTY'>
8,4.044025878219838,GRAD,False,Saliency_PTY'>
9,5.251497447676197,GRAD,False,Saliency_PTY'>
10,6.670591988403343,GRAD,False,Saliency_PTY'>
11,7.140525295338998,GRAD,False,Saliency_PTY'>
12,3.8965261577382297,GRAD,False,Saliency_PTY'>
13,7.158911526908547,GRAD,False,Saliency_PTY'>
14,3.941427684992648,GRAD,False,Saliency_PTY'>
15,6.871158643442621,GRAD,False,Saliency_PTY'>
16,6.837304923083252,GRAD,False,Saliency_PTY'>
17,6.741834252531689,GRAD,False,Saliency_PTY'>
18,6.689746934501672,GRAD,False,Saliency_PTY'>
19,6.890000477665822,GRAD,False,Saliency_PTY'>
