,complexity,transformer,epochs,explanation
0,7.628755937980982,authentic_opposing_information,100,TSEvo'>
1,7.639486439005122,authentic_opposing_information,100,TSEvo'>
2,7.676510745142036,authentic_opposing_information,100,TSEvo'>
3,7.6545836000022796,authentic_opposing_information,100,TSEvo'>
4,7.5818630912696925,authentic_opposing_information,100,TSEvo'>
5,7.596368534333008,authentic_opposing_information,100,TSEvo'>
6,7.683322162604813,authentic_opposing_information,100,TSEvo'>
7,7.629415350214056,authentic_opposing_information,100,TSEvo'>
8,7.6280974418046705,authentic_opposing_information,100,TSEvo'>
9,7.6623343915070565,authentic_opposing_information,100,TSEvo'>
10,7.635426895311337,authentic_opposing_information,100,TSEvo'>
11,7.616534939597553,authentic_opposing_information,100,TSEvo'>
12,7.675207875952367,authentic_opposing_information,100,TSEvo'>
13,7.656823663838408,authentic_opposing_information,100,TSEvo'>
14,7.643136171636119,authentic_opposing_information,100,TSEvo'>
15,7.649433743988527,authentic_opposing_information,100,TSEvo'>
16,7.67088408109462,authentic_opposing_information,100,TSEvo'>
17,7.674792880531137,authentic_opposing_information,100,TSEvo'>
18,7.669627732854984,authentic_opposing_information,100,TSEvo'>
19,7.582044546524636,authentic_opposing_information,100,TSEvo'>
