,complexity,transformer,epochs,explanation
0,7.645487747535127,authentic_opposing_information,100,TSEvo'>
1,7.646498139173921,authentic_opposing_information,100,TSEvo'>
2,7.716456818517163,authentic_opposing_information,100,TSEvo'>
3,7.621151332692642,authentic_opposing_information,100,TSEvo'>
4,7.6478713978214525,authentic_opposing_information,100,TSEvo'>
5,7.653169652087052,authentic_opposing_information,100,TSEvo'>
6,7.692537253184414,authentic_opposing_information,100,TSEvo'>
7,7.6516449860325615,authentic_opposing_information,100,TSEvo'>
8,7.68868287075992,authentic_opposing_information,100,TSEvo'>
9,7.63569531064147,authentic_opposing_information,100,TSEvo'>
10,7.626870870138919,authentic_opposing_information,100,TSEvo'>
11,7.68959071050989,authentic_opposing_information,100,TSEvo'>
12,7.646377473352448,authentic_opposing_information,100,TSEvo'>
13,7.597446127514344,authentic_opposing_information,100,TSEvo'>
14,7.706102208069889,authentic_opposing_information,100,TSEvo'>
15,7.712721458929203,authentic_opposing_information,100,TSEvo'>
16,7.718388679450001,authentic_opposing_information,100,TSEvo'>
17,7.634545615158052,authentic_opposing_information,100,TSEvo'>
18,7.688753965244116,authentic_opposing_information,100,TSEvo'>
19,7.687933549297904,authentic_opposing_information,100,TSEvo'>
