,AverageSensitivity,MaxSensitivity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,0.36675865014338377,0.379063909843806,50,NG,dtw,500,1,NativeGuideCF'>
1,0.43449305615819755,0.44102906869183794,50,NG,dtw,500,1,NativeGuideCF'>
2,0.3835935938471954,0.3909617183659204,50,NG,dtw,500,1,NativeGuideCF'>
3,0.41999550966855115,0.42919985856555415,50,NG,dtw,500,1,NativeGuideCF'>
4,0.470792026504464,0.48380718791978083,50,NG,dtw,500,1,NativeGuideCF'>
5,0.4185503289457744,0.4296618925132391,50,NG,dtw,500,1,NativeGuideCF'>
6,0.4637313669028593,0.48203439234445355,50,NG,dtw,500,1,NativeGuideCF'>
7,0.44690026250790876,0.4611486318677645,50,NG,dtw,500,1,NativeGuideCF'>
8,0.39492105321233373,0.400318563771172,50,NG,dtw,500,1,NativeGuideCF'>
9,0.4176402080583532,0.42185376663865765,50,NG,dtw,500,1,NativeGuideCF'>
10,0.33176897124903265,0.33680224738229086,50,NG,dtw,500,1,NativeGuideCF'>
11,0.428259529390757,0.4356814444967431,50,NG,dtw,500,1,NativeGuideCF'>
12,0.4295050002991541,0.44049038857310063,50,NG,dtw,500,1,NativeGuideCF'>
13,0.3575830671538286,0.3632787927237568,50,NG,dtw,500,1,NativeGuideCF'>
14,0.37888447324047986,0.38676234590639813,50,NG,dtw,500,1,NativeGuideCF'>
15,0.4880298579257601,0.4985680963017934,50,NG,dtw,500,1,NativeGuideCF'>
16,0.4316744421371689,0.4316744421371689,50,NG,dtw,500,1,NativeGuideCF'>
17,0.41448487104142495,0.42742526501623845,50,NG,dtw,500,1,NativeGuideCF'>
18,0.3976504836098211,0.3976504836098211,50,NG,dtw,500,1,NativeGuideCF'>
19,0.39676350871363397,0.39676350871363397,50,NG,dtw,500,1,NativeGuideCF'>
