,AverageSensitivity,MaxSensitivity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,14111783.665389005,9228066316625.64,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
1,423899816877.96497,0.8533822829111721,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
2,0.6269587926309044,0.7134872653571336,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
3,0.4716733838922944,0.5588716925589222,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
4,0.49803609109554364,1.1497067953437876,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
5,0.5951383516518923,6.63865509256972,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
6,0.5123285913512049,7.279149766936099,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
7,0.6327835051820874,0.8064324055338044,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
8,0.4966810916264201,375276389643.7155,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
9,0.5589886760291676,0.6454439165081758,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
10,107156106870.54192,0.941651853763841,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
11,0.4281822496935179,0.4830312302391474,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
12,0.7464383084792299,4280690575349.8193,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
13,0.4790237743885412,0.6409379977941793,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
14,0.5430364852549744,0.5216266171372564,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
15,0.52928480244407,3.50522946951178,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
16,0.43301281594350005,0.5694290744821325,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
17,0.512615227624584,0.5925250115072663,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
18,0.5207986042064126,1.1213391665350447,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
19,0.6012440175779978,1.2665419693925772,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
