,AverageSensitivity,MaxSensitivity,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,0.007707012255182287,0.009537540255162947,1000,random,uniform,Lime,10,1,LEFTIST'>
1,0.0014610748120954466,0.0038615432105618746,1000,random,uniform,Lime,10,1,LEFTIST'>
2,0.002073068207028156,0.004803604424102424,1000,random,uniform,Lime,10,1,LEFTIST'>
3,0.0010366813985029954,0.003102090052716556,1000,random,uniform,Lime,10,1,LEFTIST'>
4,0.006385345012728835,0.00717488273127764,1000,random,uniform,Lime,10,1,LEFTIST'>
5,0.002926961911509342,0.005841768186097841,1000,random,uniform,Lime,10,1,LEFTIST'>
6,0.005149729345413521,0.007153053879688991,1000,random,uniform,Lime,10,1,LEFTIST'>
7,0.0013925116401449652,0.005527177498532601,1000,random,uniform,Lime,10,1,LEFTIST'>
8,0.0026698337665802653,0.004257635821838303,1000,random,uniform,Lime,10,1,LEFTIST'>
9,0.0019044908363970241,0.0027932369797600575,1000,random,uniform,Lime,10,1,LEFTIST'>
10,0.0014074135530642274,0.0033717171216945136,1000,random,uniform,Lime,10,1,LEFTIST'>
11,0.0013114857091915976,0.0029666622753179305,1000,random,uniform,Lime,10,1,LEFTIST'>
12,0.0017849923097688653,0.004084801789920327,1000,random,uniform,Lime,10,1,LEFTIST'>
13,0.0014202183370115602,0.004475219830071994,1000,random,uniform,Lime,10,1,LEFTIST'>
14,0.002324876726245316,0.005543442773984922,1000,random,uniform,Lime,10,1,LEFTIST'>
15,0.001889357018230195,0.0047659704734801705,1000,random,uniform,Lime,10,1,LEFTIST'>
16,0.0012916999997196947,0.004233066847986252,1000,random,uniform,Lime,10,1,LEFTIST'>
17,0.003858227907665155,0.005514414689612992,1000,random,uniform,Lime,10,1,LEFTIST'>
18,0.00923205295437227,0.010535695513118025,1000,random,uniform,Lime,10,1,LEFTIST'>
19,0.00929445176649801,0.012178403571922012,1000,random,uniform,Lime,10,1,LEFTIST'>
