,AverageSensitivity,MaxSensitivity,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,0.49330139869561557,0.5098413562638958,50,NG,dtw,500,1,NativeGuideCF'>
1,0.49643761667529923,0.504991010906885,50,NG,dtw,500,1,NativeGuideCF'>
2,0.5377072122645675,0.576673414534985,50,NG,dtw,500,1,NativeGuideCF'>
3,0.4535137890050878,0.4723060361374535,50,NG,dtw,500,1,NativeGuideCF'>
4,0.4791647722295581,0.4934528934774719,50,NG,dtw,500,1,NativeGuideCF'>
5,0.47577167587202657,0.49566235450582835,50,NG,dtw,500,1,NativeGuideCF'>
6,0.5033978383314526,0.5074188475442283,50,NG,dtw,500,1,NativeGuideCF'>
7,0.5349673258408748,0.5629723150546365,50,NG,dtw,500,1,NativeGuideCF'>
8,0.49428886707592773,0.5160962110257309,50,NG,dtw,500,1,NativeGuideCF'>
9,0.4828028570011401,0.48784832401710904,50,NG,dtw,500,1,NativeGuideCF'>
10,0.486364805520492,0.5000909428794895,50,NG,dtw,500,1,NativeGuideCF'>
11,0.5592598132061528,0.5734642762378207,50,NG,dtw,500,1,NativeGuideCF'>
12,0.5208169891184851,0.5440463462599611,50,NG,dtw,500,1,NativeGuideCF'>
13,0.4081902403875836,0.44291670808825184,50,NG,dtw,500,1,NativeGuideCF'>
14,0.412738133146738,0.438789955916566,50,NG,dtw,500,1,NativeGuideCF'>
15,0.5248052769879891,0.5479619850680773,50,NG,dtw,500,1,NativeGuideCF'>
16,0.48689091390228595,0.5053595548339422,50,NG,dtw,500,1,NativeGuideCF'>
17,0.4459249096938757,0.4861868427870258,50,NG,dtw,500,1,NativeGuideCF'>
18,0.5327941239739477,0.5599741848038806,50,NG,dtw,500,1,NativeGuideCF'>
19,0.4719262730152069,0.49253416444807907,50,NG,dtw,500,1,NativeGuideCF'>
