,AverageSensitivity,MaxSensitivity,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,0.1267347784550669,0.1267380308801246,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,0.16930210502214837,0.16676204671363254,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,0.3146507108078342,0.34859957256394913,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,0.147194955866342,0.1471991510423596,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,0.17058602608589346,0.33370078768942096,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,0.12655059455536122,0.12656764057769573,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,0.2389561309763956,0.2650241878657955,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,0.11703737777660839,0.21943560478665788,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,0.16528512646586627,0.27689779174809226,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,0.12912271100039943,0.133415188803041,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,0.12328662090293219,0.12395856048409298,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,0.07381253405138585,0.08343673327385974,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,0.149152219218554,0.15087296029785371,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,0.12017356441166749,0.12214550828560639,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,0.28653609919616885,0.32372891980062507,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,0.1383713315986986,0.14217172820898205,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,0.1436720613512658,0.14367822247629927,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,0.2942572479962918,0.2943556208437855,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,0.17450607268901722,0.2821099765443674,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,0.16170801857114542,0.27059715625328873,1000,random,uniform,SHAP,10,1,LEFTIST'>
